epoch,loss,pos_loss,neg_loss,acc,pos_acc,neg_acc,lr,time,test_acc,test_pos_acc,test_neg_acc,test_auc,test_f1
1,1.386411190032959,0.6909177899360657,0.6954934000968933,0.4400945003121496,0.6531491279602051,0.34592291712760925,0.001,0.974923849105835,0.5500806009279042,0.7547003626823425,0.4596370756626129,0.67303519513251,0.5069833663648178
2,1.3857169151306152,0.6923820972442627,0.6933348178863525,0.5081282056727299,0.5554084181785583,0.4872300326824188,0.001,0.12246894836425781,0.747713414682853,0.5239911079406738,0.8466004133224487,0.7273575607969252,0.5601058898267482
3,1.3851215839385986,0.6936748623847961,0.6914467811584473,0.5695345301263419,0.46686437726020813,0.6149154305458069,0.001,0.11944890022277832,0.7585258909555017,0.5002551078796387,0.872683584690094,0.7496048287662593,0.559497071909454
4,1.3845560550689697,0.6939120292663574,0.6906439661979675,0.5975814581633263,0.4518287777900696,0.6620051264762878,0.001,0.11995601654052734,0.7382087547283847,0.6236840486526489,0.7888295650482178,0.7566904800099457,0.593578686202643
5,1.3840444087982178,0.6934401392936707,0.6906042098999023,0.6053659992920429,0.48844385147094727,0.657046377658844,0.001,0.1181182861328125,0.7048842420017021,0.6713600754737854,0.7197021842002869,0.758791971243644,0.5823969358896284
6,1.3834607601165771,0.6927893161773682,0.6906713843345642,0.6096620165845892,0.5370869636535645,0.6417406797409058,0.001,0.1201333999633789,0.6911745840331945,0.6981847882270813,0.6880760192871094,0.7591745305212811,0.5808809059379447
7,1.3826839923858643,0.6921543478965759,0.6905296444892883,0.6182070959412452,0.5824627876281738,0.6340063214302063,0.001,0.11725401878356934,0.6778857429834826,0.7248982191085815,0.6571058630943298,0.7623833870494534,0.5797647616907343
8,1.3819522857666016,0.6914995908737183,0.6904526352882385,0.6217660201086194,0.6262849569320679,0.6197686195373535,0.001,0.12093162536621094,0.6647134091706641,0.7530771493911743,0.6256559491157532,0.7660068978609706,0.5792913508951969
9,1.3809934854507446,0.690836489200592,0.6901569962501526,0.6279661885019129,0.6635562777519226,0.6122351288795471,0.001,0.11910510063171387,0.6599682125441784,0.7647550106048584,0.6136516332626343,0.7698228087404825,0.5796165134241684
10,1.37998366355896,0.6901739239692688,0.6898097395896912,0.6290821447893802,0.696384608745575,0.5993340015411377,0.001,0.12157654762268066,0.6531333149589286,0.7599781155586243,0.6059070825576782,0.7687754225002519,0.5732275972091047
11,1.378645658493042,0.6895390748977661,0.6891065239906311,0.634101021989173,0.7193391919136047,0.5964251756668091,0.001,0.11751675605773926,0.6573781019867083,0.7612488865852356,0.6114664077758789,0.766995824038345,0.5766450025877546
12,1.377090334892273,0.6890566945075989,0.6880336403846741,0.642937509550277,0.732401430606842,0.6033938527107239,0.001,0.11780953407287598,0.6595758781620114,0.7699307203292847,0.610798180103302,0.7647272004191148,0.5809784110760595
13,1.3752310276031494,0.6884532570838928,0.6867778301239014,0.6478284624062569,0.7413337826728821,0.6064984798431396,0.001,0.1180119514465332,0.655942355739675,0.7766554951667786,0.6025862097740173,0.7636482497021382,0.5805107512435863
14,1.3730424642562866,0.6874117255210876,0.685630738735199,0.6463954885335047,0.7533246874809265,0.5991320610046387,0.001,0.11572766304016113,0.650224771208812,0.7792248129844666,0.5932057499885559,0.7630663123282023,0.5772981218739048
15,1.3703876733779907,0.6861172318458557,0.684270441532135,0.6463990388696215,0.7610511779785156,0.5957220196723938,0.001,0.11303114891052246,0.6425624723793009,0.7798184156417847,0.5818942785263062,0.7623808999406334,0.572187909367731
16,1.3672432899475098,0.6847634315490723,0.6824798583984375,0.6465575288774661,0.764216423034668,0.5945515036582947,0.001,0.1136007308959961,0.6470887898400317,0.7795772552490234,0.5885278582572937,0.761513539050121,0.5752290218238689
17,1.3633784055709839,0.6833570003509521,0.6800214052200317,0.6479357684176764,0.7649445533752441,0.5962170958518982,0.001,0.11273002624511719,0.6472650445514931,0.7791506052017212,0.5889706015586853,0.7608936206739216,0.5752173302235343
18,1.3588893413543701,0.6817206144332886,0.6771687865257263,0.648940821369155,0.7646268606185913,0.5978068113327026,0.001,0.11349987983703613,0.653736045035986,0.7779818773269653,0.5988184213638306,0.7607667401531153,0.5793692731772454
