gene_symbol,disease_name,disease_id,score,num_pmids,num_snps,disease_type,disease_classes,disease_vocabularies,gene_ncbi_id,gene_ensembl_ids,gene_protein_ids,gene_protein_class,year_initial,year_final,association_id
AAGAB,Keratosis palmoplantaris papulosa,C1835662,0.85,13,0,disease,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Skin and Connective Tissue Diseases (C17); Disease or Syndrome (T047); disease of anatomical entity (7)",OMIM_148600; MESH_C536161; OMIM_614888; ORDO_79501; DO_0080214; MONDO_0007858; MONDO_0019332; UMLS_C1835662,79719,ENSG00000103591,Q6PD74,N/A,2010.0,2023.0,95156700
AAGAB,"Keratoderma, Palmoplantar",C4551675,0.65,2,0,disease,"Skin and Connective Tissue Diseases (C17); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); Abnormality of limbs (40064); Abnormality of the integument (01574)",MESH_D007645; HPO_HP:0000982; NCI_C34748; DO_3390; MONDO_0006590; EFO_1000745; UMLS_C4551675,79719,ENSG00000103591,Q6PD74,N/A,2021.0,2024.0,115007967
AAGAB,"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE IB",C3554145,0.5,1,0,disease,Disease or Syndrome (T047); disease of anatomical entity (7),OMIM_614936; DO_0080214; MONDO_0007858; MONDO_0013980; UMLS_C3554145,79719,ENSG00000103591,Q6PD74,N/A,2014.0,2014.0,105242199
AAGAB,Palmoplantar Keratosis,C0022596,0.45,1,0,disease,Skin and Connective Tissue Diseases (C17); Musculoskeletal Diseases (C05); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the integument (01574); Abnormality of limbs (40064),ICD10_L85.2; HPO_HP:0000972; DO_3390; MONDO_0006590; EFO_1000745; UMLS_C0022596,79719,ENSG00000103591,Q6PD74,N/A,2012.0,2012.0,30000622
AANAT,Depressive disorder,C0011581,0.65,2,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); Abnormality of the nervous system (00707),MESH_D003866; HPO_HP:0000716; DO_12139; DO_1595; DO_4964; MONDO_0002050; MONDO_0001442; EFO_0004257; EFO_0008623; EFO_1002014; UMLS_C0011581,15,ENSG00000129673,Q16613,N/A,2001.0,2011.0,15271265
AANAT,Mental Depression,C0011570,0.65,2,0,disease,Behavior and Behavior Mechanisms (F01); Mental or Behavioral Dysfunction (T048); disease of mental health (150),MESH_D003863; NCI_C2982; DO_1596; DO_1470; MONDO_0002050; UMLS_C0011570,15,ENSG00000129673,Q16613,N/A,2001.0,2011.0,15257305
AANAT,"Advanced Sleep-Phase Syndrome, Familial",C1858496,0.5,1,0,disease,Nervous System Diseases (C10); Mental Disorders (F03); Disease or Syndrome (T047); disease of mental health (150); genetic disease (630),MESH_C565789; ORDO_164736; DO_0050628; MONDO_0015609; UMLS_C1858496,15,ENSG00000129673,Q16613,N/A,2003.0,2003.0,100025166
AANAT,"Depression, Bipolar",C0005587,0.5,1,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); disease of mental health (150); Abnormality of the nervous system (00707),MESH_D001714; HPO_HP:0007302; NCI_C34424; DO_3312; MONDO_0004985; MONDO_0024613; UMLS_C0005587,15,ENSG00000129673,Q16613,N/A,2010.0,2010.0,5443450
AANAT,"DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO",C3279991,0.4,1,0,phenotype,Finding (T033),OMIM_614163; OMIM_601933; MONDO_0800001; EFO_0004698; UMLS_C3279991,15,ENSG00000129673,Q16613,N/A,2003.0,2003.0,105170440
ABAT,Gamma aminobutyric acid transaminase deficiency,C0342708,0.9,19,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); disease of metabolism (0014667); genetic disease (630)",OMIM_613163; MESH_C535407; OMIM_137150; ORDO_2066; DO_0060174; MONDO_0013166; UMLS_C0342708,18,ENSG00000183044,P80404,Enzyme,1984.0,2024.0,65295024
ABAT,Huntington Disease,C0020179,0.7,5,0,disease,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Nervous System Diseases (C10); Mental Disorders (F03); Disease or Syndrome (T047); disease of anatomical entity (7); disease by infectious agent (0050117)",MESH_D006816; ICD10_G10; OMIM_143100; ICD9CM_333.4; NCI_C82342; OMIM_613004; ORDO_399; DO_12858; DO_0090103; DO_0090104; MONDO_0011671; MONDO_0007739; MONDO_0011299; UMLS_C0020179,18,ENSG00000183044,P80404,Enzyme,1977.0,1984.0,25125771
ABAT,Alzheimer's Disease,C0002395,0.65,3,0,disease,Mental Disorders (F03); Nervous System Diseases (C10); Disease or Syndrome (T047); disease of anatomical entity (7); genetic disease (630); Abnormality of the nervous system (00707),MESH_D000544; ICD10_G30; ICD10_G30.9; NCI_C2866; OMIM_104300; ICD9CM_331.0; OMIM_516000; HPO_HP:0002511; DO_10652; DO_11870; DO_0110035; DO_0110037; DO_0110038; DO_0110039; DO_0110041; DO_0110043; DO_0110044; DO_0110045; DO_0110046; DO_0110047; DO_0110048; MONDO_0007089; MONDO_0004975; MONDO_0011401; MONDO_0011561; MONDO_0011647; MONDO_0011777; MONDO_0012321; MONDO_0012344; MONDO_0012609; MONDO_0012630; MONDO_0012631; MONDO_0011194; UMLS_C0002395,18,ENSG00000183044,P80404,Enzyme,1990.0,2021.0,5085805
ABAT,Muscle hypotonia,C0026827,0.65,3,0,phenotype,"Pathological Conditions, Signs and Symptoms (C23); Nervous System Diseases (C10); Finding (T033); Abnormality of the musculoskeletal system (33127)",MESH_D009123; NCI_C87070; HPO_HP:0001252; UMLS_C0026827,18,ENSG00000183044,P80404,Enzyme,1999.0,2023.0,35075224
ABAT,Autistic Disorder,C0004352,0.6,2,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); disease of mental health (150); Abnormality of the nervous system (00707),ICD10_F84.0; MESH_D001321; OMIM_209850; NCI_C97161; HPO_HP:0000717; ICD9CM_299.0; ORDO_106; DO_12849; MONDO_0005260; MONDO_0020836; EFO_0003756; EFO_0003758; UMLS_C0004352,18,ENSG00000183044,P80404,Enzyme,2005.0,2012.0,5368058
ABAT,Gastroesophageal reflux disease,C0017168,0.5,1,0,disease,Digestive System Diseases (C06); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the digestive system (25031),MESH_D005764; ICD10_K21; OMIM_109350; ICD9CM_530.81; HPO_HP:0002020; NCI_C26781; DO_8534; MONDO_0007186; EFO_0000478; EFO_0003948; UMLS_C0017168,18,ENSG00000183044,P80404,Enzyme,2011.0,2011.0,20174018
ABAT,Lethargy,C0023380,0.45,1,0,phenotype,"Nervous System Diseases (C10); Behavior and Behavior Mechanisms (F01); Pathological Conditions, Signs and Symptoms (C23); Sign or Symptom (T184); Abnormality of the nervous system (00707)",NCI_C50412; MESH_D053609; NCI_C78416; HPO_HP:0001254; UMLS_C0023380,18,ENSG00000183044,P80404,Enzyme,1999.0,1999.0,30054325
ABAT,Early infantile epileptic encephalopathy with suppression bursts,C0393706,0.4,9,0,disease,Nervous System Diseases (C10); Disease or Syndrome (T047); disease of anatomical entity (7),NCI_C116552; ORDO_1934; DO_0050709; MONDO_0100062; UMLS_C0393706,18,ENSG00000183044,P80404,Enzyme,1984.0,2021.0,70281714
ABAT,"Reflex, Abnormal",C0034933,0.4,1,0,phenotype,"Pathological Conditions, Signs and Symptoms (C23); Nervous System Diseases (C10); Finding (T033)",MESH_D012021; ICD10_R29.2; ICD9CM_796.1; HPO_HP:0031826; MONDO_0007774; UMLS_C0034933,18,ENSG00000183044,P80404,Enzyme,1999.0,1999.0,40206103
ABAT,Psychomotor Disorders,C0033922,0.4,1,0,disease,"Pathological Conditions, Signs and Symptoms (C23); Behavior and Behavior Mechanisms (F01); Nervous System Diseases (C10); Mental or Behavioral Dysfunction (T048)",MESH_D011596; UMLS_C0033922,18,ENSG00000183044,P80404,Enzyme,1999.0,1999.0,40179624
ABCA1,Tangier Disease,C0039292,1.0,207,0,disease,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Nervous System Diseases (C10); Nutritional and Metabolic Diseases (C18); Disease or Syndrome (T047); genetic disease (630); disease of metabolism (0014667)",MESH_D013631; OMIM_205400; NCI_C85182; OMIM_600046; ORDO_31150; DO_1386; DO_1387; DO_1388; DO_1391; MONDO_0008783; UMLS_C0039292,19,ENSG00000165029,O95477,Transporter,1985.0,2025.0,45068112
ABCA1,Atherosclerosis,C0004153,1.0,156,0,disease,Cardiovascular Diseases (C14); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the cardiovascular system (01626),ICD10_I70; ICD10_I25.0; HPO_HP:0002621; HPO_HP:0002635; NCI_C35768; NCI_C35771; ICD9CM_440; MESH_D050197; DO_1936; DO_2348; DO_2349; DO_5162; MONDO_0002277; MONDO_0005311; EFO_0003914; EFO_1000819; UMLS_C0004153,19,ENSG00000165029,O95477,Transporter,2000.0,2025.0,5340224
ABCA1,Hypercholesterolemia,C0020443,0.95,15,0,disease,Nutritional and Metabolic Diseases (C18); Disease or Syndrome (T047); Abnormality of metabolism/homeostasis (01939),MESH_D006937; HPO_HP:0003124; UMLS_C0020443,19,ENSG00000165029,O95477,Transporter,2008.0,2024.0,25147535
ABCA1,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,0.9,66,0,disease,Nutritional and Metabolic Diseases (C18); Endocrine System Diseases (C19); Disease or Syndrome (T047); disease of metabolism (0014667); genetic disease (630); Abnormality of metabolism/homeostasis (01939); Abnormality of the endocrine system (00818),MESH_D003924; ICD10_E11; OMIM_125853; NCI_C26747; OMIM_600509; OMIM_147545; HPO_HP:0005978; OMIM_138079; OMIM_147670; OMIM_167413; OMIM_600281; OMIM_189907; OMIM_138430; OMIM_164731; OMIM_601724; DO_9352; MONDO_0005148; UMLS_C0011860,19,ENSG00000165029,O95477,Transporter,2002.0,2024.0,15351674
ABCA1,Alzheimer's Disease,C0002395,0.85,96,0,disease,Mental Disorders (F03); Nervous System Diseases (C10); Disease or Syndrome (T047); disease of anatomical entity (7); genetic disease (630); Abnormality of the nervous system (00707),MESH_D000544; ICD10_G30; ICD10_G30.9; NCI_C2866; OMIM_104300; ICD9CM_331.0; OMIM_516000; HPO_HP:0002511; DO_10652; DO_11870; DO_0110035; DO_0110037; DO_0110038; DO_0110039; DO_0110041; DO_0110043; DO_0110044; DO_0110045; DO_0110046; DO_0110047; DO_0110048; MONDO_0007089; MONDO_0004975; MONDO_0011401; MONDO_0011561; MONDO_0011647; MONDO_0011777; MONDO_0012321; MONDO_0012344; MONDO_0012609; MONDO_0012630; MONDO_0012631; MONDO_0011194; UMLS_C0002395,19,ENSG00000165029,O95477,Transporter,2003.0,2025.0,5086371
ABCA1,Coronary Arteriosclerosis,C0010054,0.85,60,0,disease,Cardiovascular Diseases (C14); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the cardiovascular system (01626),MESH_D003324; ICD10_I25.1; HPO_HP:0001677; NCI_C35505; ICD9CM_414.0; DO_13739; DO_3393; MONDO_0005010; MONDO_0021661; EFO_0001645; UMLS_C0010054,19,ENSG00000165029,O95477,Transporter,2000.0,2024.0,15160959
ABCA1,Apolipoprotein A-I deficiency,C0342898,0.85,25,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); disease of metabolism (0014667); genetic disease (630)",OMIM_107680; ORDO_425; DO_0080957; DO_0080958; MONDO_0011393; MONDO_0032766; EFO_0700136; UMLS_C0342898,19,ENSG00000165029,O95477,Transporter,1999.0,2018.0,65300242
ABCA1,Obesity,C0028754,0.8,34,0,disease,"Nutritional and Metabolic Diseases (C18); Pathological Conditions, Signs and Symptoms (C23); Disease or Syndrome (T047); disease of metabolism (0014667); Growth abnormality (01507)",ICD10_E66; MESH_D009765; ICD10_E66.9; OMIM_601665; ICD9CM_278.00; HPO_HP:0001513; NCI_C159658; NCI_C3283; DO_9970; MONDO_0011122; MONDO_0019182; EFO_0001073; UMLS_C0028754,19,ENSG00000165029,O95477,Transporter,2007.0,2024.0,35255692
ABCA1,Hypoalphalipoproteinemias,C0473527,0.8,15,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); Abnormality of metabolism/homeostasis (01939)",MESH_D052456; NCI_C84774; HPO_HP:0003233; ORDO_425; ORDO_31153; DO_1386; DO_1387; DO_1388; DO_1391; MONDO_0017773; UMLS_C0473527,19,ENSG00000165029,O95477,Transporter,2003.0,2022.0,75040022
ABCA1,Decreased HDL cholesterol,C0151691,0.75,66,0,phenotype,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Finding (T033); Abnormality of metabolism/homeostasis (01939)",HPO_HP:0003233; MONDO_0017773; EFO_0004612; UMLS_C0151691,19,ENSG00000165029,O95477,Transporter,2000.0,2025.0,50093542
ABCA1,"Hypoalphalipoproteinemia, Familial",C1704429,0.75,56,0,disease,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Nutritional and Metabolic Diseases (C18); Disease or Syndrome (T047)",MESH_D052456; OMIM_604091; ORDO_31153; MONDO_0017773; UMLS_C1704429,19,ENSG00000165029,O95477,Transporter,1999.0,2024.0,95108289
ABCA1,Coronary heart disease,C0010068,0.75,31,0,disease,Cardiovascular Diseases (C14); Disease or Syndrome (T047); disease of anatomical entity (7),MESH_D003327; DO_3393; MONDO_0005010; EFO_0001645; UMLS_C0010068,19,ENSG00000165029,O95477,Transporter,2000.0,2022.0,15175791
ABCA1,Familial HDL deficiency,C2931838,0.75,30,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047)",OMIM_604091; OMIM_600046; UMLS_C2931838,19,ENSG00000165029,O95477,Transporter,1999.0,2024.0,105007940
ABCA1,Breast Carcinoma,C0678222,0.7,11,0,disease,Skin and Connective Tissue Diseases (C17); Neoplasms (C04); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566); Abnormality of the breast (00769); Neoplasm (02664),HPO_HP:0003002; MESH_D001943; NCI_C4872; DO_1612; DO_3459; MONDO_0004989; MONDO_0021100; EFO_0000305; EFO_0003869; UMLS_C0678222,19,ENSG00000165029,O95477,Transporter,2009.0,2025.0,80208808
ABCA1,"HYPOALPHALIPOPROTEINEMIA, PRIMARY, 1",C5231558,0.65,32,0,disease,Disease or Syndrome (T047); genetic disease (630); disease of metabolism (0014667),OMIM_604091; DO_0080957; MONDO_0011393; UMLS_C5231558,19,ENSG00000165029,O95477,Transporter,1995.0,2023.0,115186468
ABCA1,"Hypercholesterolemia, Familial",C0020445,0.65,9,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); genetic disease (630); disease of metabolism (0014667)",MESH_D006938; NCI_C34704; DO_13810; MONDO_0005439; EFO_0004911; UMLS_C0020445,19,ENSG00000165029,O95477,Transporter,2003.0,2024.0,25151956
ABCA1,Myocardial Ischemia,C0151744,0.65,6,0,disease,Cardiovascular Diseases (C14); Disease or Syndrome (T047); disease of anatomical entity (7),MESH_D017202; ICD10_I20-I25.9; NCI_C50625; ICD9CM_410-414.99; DO_3393; MONDO_0005010; MONDO_0024644; EFO_0001645; EFO_1001375; UMLS_C0151744,19,ENSG00000165029,O95477,Transporter,2000.0,2010.0,50101403
ABCA1,Peripheral Neuropathy,C0031117,0.65,3,0,disease,Nervous System Diseases (C10); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the nervous system (00707),NCI_C119734; HPO_HP:0009830; DO_574; MONDO_0005244; MONDO_0003620; EFO_0003100; EFO_0009387; UMLS_C0031117,19,ENSG00000165029,O95477,Transporter,2011.0,2023.0,40070496
ABCA1,Hyperlipoproteinemia Type IIa,C0745103,0.6,16,0,disease,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047)",MESH_D006938; OMIM_143890; NCI_C123416; OMIM_606945; DO_13810; MONDO_0005439; MONDO_0007750; EFO_0004911; UMLS_C0745103,19,ENSG00000165029,O95477,Transporter,2004.0,2024.0,80467899
ABCA1,Colorectal Carcinoma,C0009402,0.6,8,0,disease,Digestive System Diseases (C06); Neoplasms (C04); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566),OMIM_114500; NCI_C2955; OMIM_516000; OMIM_516004; OMIM_516030; OMIM_516040; OMIM_172411; OMIM_191170; OMIM_516020; MESH_D015179; DO_0080199; DO_9256; MONDO_0005335; MONDO_0005575; MONDO_0024331; EFO_0000365; EFO_0004142; EFO_1001951; UMLS_C0009402,19,ENSG00000165029,O95477,Transporter,2014.0,2024.0,15073508
ABCA1,Schizophrenia,C0036341,0.6,2,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); disease of mental health (150); Abnormality of the nervous system (00707),MESH_D012559; ICD10_F20; ICD10_F20.9; OMIM_181500; ICD9CM_295.90; HPO_HP:0100753; NCI_C3362; ICD9CM_295.9; ICD9CM_295; DO_5419; MONDO_0005090; UMLS_C0036341,19,ENSG00000165029,O95477,Transporter,2011.0,2020.0,40281654
ABCA1,"Kidney Failure, Chronic",C0022661,0.55,1,0,disease,"Urogenital Diseases (C12); Pathological Conditions, Signs and Symptoms (C23); Disease or Syndrome (T047); disease of anatomical entity (7)",MESH_D007676; ICD10_N18; ICD10_N18.9; ICD10_N18.0; ICD9CM_585.6; NCI_C9438; DO_783; DO_784; MONDO_0004375; MONDO_0005300; MONDO_0024327; EFO_0003884; EFO_0009909; UMLS_C0022661,19,ENSG00000165029,O95477,Transporter,2010.0,2010.0,30021637
ABCA1,Colorectal Neoplasms,C0009404,0.5,2,0,disease,Digestive System Diseases (C06); Neoplasms (C04); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566); Abnormality of the digestive system (25031); Neoplasm (02664),MESH_D015179; NCI_C2956; HPO_HP:0100834; DO_0080199; DO_9256; MONDO_0005335; MONDO_0005575; EFO_0004142; UMLS_C0009404,19,ENSG00000165029,O95477,Transporter,2012.0,2020.0,15133986
ABCA1,Chronic ischemic heart disease,C0264694,0.45,1,0,disease,Cardiovascular Diseases (C14); Disease or Syndrome (T047); disease of anatomical entity (7),ICD10_I25; ICD10_I25.9; ICD9CM_414.9; DO_3393; MONDO_0005010; EFO_0001645; UMLS_C0264694,19,ENSG00000165029,O95477,Transporter,2000.0,2000.0,60206545
ABCA1,Hypolipoproteinemias,C0020623,0.45,1,0,phenotype,"Nutritional and Metabolic Diseases (C18); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Finding (T033); genetic disease (630); disease of metabolism (0014667); Abnormality of metabolism/homeostasis (01939)",ICD10_E78.6; MESH_D007009; ICD9CM_272.5; HPO_HP:0010981; ORDO_181431; DO_1386; DO_1387; DO_1388; DO_1391; MONDO_0001822; UMLS_C0020623,19,ENSG00000165029,O95477,Transporter,2000.0,2000.0,25242761
ABCA1,Acute Promyelocytic Leukemia,C0023487,0.4,1,0,disease,Neoplasms (C04); Hemic and Lymphatic Diseases (C15); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566); Neoplasm (02664); Abnormality of blood and blood-forming tissues (01871); Abnormality of the immune system (02715),MESH_D015473; ICD10_C92.4; OMIM_612376; NCI_C3182; HPO_HP:0004836; ORDO_520; DO_0060318; DO_0081081; MONDO_0012883; EFO_0000224; UMLS_C0023487,19,ENSG00000165029,O95477,Transporter,2020.0,2020.0,30160507
ABCA1,Non-Neoplastic Peripheral Nervous System Disease,C1335029,0.4,1,0,disease,Nervous System Diseases (C10); Disease or Syndrome (T047); disease of anatomical entity (7),NCI_C27587; DO_574; MONDO_0003620; EFO_0009387; UMLS_C1335029,19,ENSG00000165029,O95477,Transporter,2011.0,2011.0,90170485
ABCA1,Severe myopia,C0271183,0.4,0,0,disease,Eye Diseases (C11); Disease or Syndrome (T047); Abnormality of the eye (00478),HPO_HP:0011003; UMLS_C0271183,19,ENSG00000165029,O95477,Transporter,,,60318232
ABCA1,"Coronary artery disease, early-onset",C4229399,0.4,0,0,phenotype,Finding (T033),OMIM_608901; UMLS_C4229399,19,ENSG00000165029,O95477,Transporter,,,110116000
ABCA1,Impaired delayed hypersensitivity,C1843386,0.4,0,0,phenotype,Finding (T033); Abnormality of blood and blood-forming tissues (01871); Abnormality of metabolism/homeostasis (01939); Abnormal cellular phenotype (25354); Abnormality of the immune system (02715),HPO_HP:0002972; UMLS_C1843386,19,ENSG00000165029,O95477,Transporter,,,95220252
ABCA1,Symphalangism affecting the proximal phalanx of the 4th finger,C4024448,0.4,0,0,disease,Anatomical Abnormality (T190); Abnormality of limbs (40064); Abnormality of the musculoskeletal system (33127),HPO_HP:0009314; UMLS_C4024448,19,ENSG00000165029,O95477,Transporter,,,110050176
ABCA2,INTELLECTUAL DEVELOPMENTAL DISORDER WITH POOR GROWTH AND WITH OR WITHOUT SEIZURES OR ATAXIA,C5394135,0.55,3,0,disease,Disease or Syndrome (T047),OMIM_618808; MONDO_0032930; UMLS_C5394135,20,ENSG00000107331,Q9BZC7,Transporter,2019.0,2024.0,115200735
ABCA2,Autism Spectrum Disorders,C1510586,0.4,1,0,disease,Mental Disorders (F03); Mental or Behavioral Dysfunction (T048); disease of mental health (150); Abnormality of the nervous system (00707),OMIM_209850; NCI_C88412; HPO_HP:0000729; MESH_D000067877; DO_0060041; DO_12849; MONDO_0005258; EFO_0003756; UMLS_C1510586,20,ENSG00000107331,Q9BZC7,Transporter,2022.0,2022.0,90278491
ABCA2,Autosomal recessive non-syndromic intellectual disability,C5680181,0.4,1,0,disease,Disease or Syndrome (T047); disease of mental health (150); genetic disease (630),ORDO_88616; DO_0060308; MONDO_0019502; UMLS_C5680181,20,ENSG00000107331,Q9BZC7,Transporter,2019.0,2019.0,115270187
ABCA3,Lung diseases,C0024115,0.85,28,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the respiratory system (02086),MESH_D008171; HPO_HP:0002088; NCI_C3198; DO_850; MONDO_0005275; EFO_0003818; EFO_1001362; UMLS_C0024115,21,ENSG00000167972,Q99758,Transporter,2004.0,2025.0,30218491
ABCA3,"Surfactant Metabolism Dysfunction, Pulmonary, 3",C1970456,0.8,80,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047),OMIM_610921; MESH_C567046; OMIM_601615; NCI_C99070; ORDO_440402; DO_12120; MONDO_0012582; UMLS_C1970456,21,ENSG00000167972,Q99758,Transporter,2004.0,2023.0,100153851
ABCA3,Respiratory Failure,C1145670,0.8,15,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047); Abnormality of the respiratory system (02086),ICD10_J96.9; HPO_HP:0002878; MESH_D012131; NCI_C26872; MONDO_0021113; EFO_0009686; UMLS_C1145670,21,ENSG00000167972,Q99758,Transporter,2005.0,2023.0,85317534
ABCA3,Surfactant Dysfunction,C3711368,0.75,61,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047),MESH_C580477; MONDO_0012580; UMLS_C3711368,21,ENSG00000167972,Q99758,Transporter,2004.0,2024.0,105260392
ABCA3,Pulmonary Fibrosis,C0034069,0.7,8,0,disease,"Pathological Conditions, Signs and Symptoms (C23); Respiratory Tract Diseases (C08); Disease or Syndrome (T047); disease of anatomical entity (7); Abnormality of the respiratory system (02086)",MESH_D011658; HPO_HP:0002206; NCI_C26869; DO_3770; MONDO_0002771; EFO_0009448; UMLS_C0034069,21,ENSG00000167972,Q99758,Transporter,2014.0,2025.0,40193050
ABCA3,Pathological accumulation of air in tissues,C0013990,0.65,2,0,phenotype,"Pathological Conditions, Signs and Symptoms (C23); Pathologic Function (T046)",MESH_D004646; MONDO_0004849; EFO_0000464; UMLS_C0013990,21,ENSG00000167972,Q99758,Transporter,2010.0,2016.0,20033025
ABCA3,Pulmonary Hypertension,C0020542,0.6,3,0,phenotype,Cardiovascular Diseases (C14); Respiratory Tract Diseases (C08); Pathologic Function (T046); disease of anatomical entity (7),MESH_D006976; NCI_C3120; DO_6432; MONDO_0005149; EFO_0001361; UMLS_C0020542,21,ENSG00000167972,Q99758,Transporter,2007.0,2020.0,25219644
ABCA3,Malignant neoplasm of breast,C0006142,0.6,2,0,disease,Skin and Connective Tissue Diseases (C17); Neoplasms (C04); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566),MESH_D001943; ICD10_C50; ICD10_C50-C50.9; ICD10_C50.9; OMIM_114480; NCI_C9335; DO_1612; DO_3459; MONDO_0016419; MONDO_0007254; MONDO_0021100; EFO_0000305; EFO_0003869; UMLS_C0006142,21,ENSG00000167972,Q99758,Transporter,2010.0,2023.0,10102368
ABCA3,Pulmonary Alveolar Proteinosis,C0034050,0.45,3,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047); disease of anatomical entity (7),MESH_D011649; ICD9CM_516.0; NCI_C85037; DO_12120; MONDO_0001437; UMLS_C0034050,21,ENSG00000167972,Q99758,Transporter,2007.0,2007.0,40185708
ABCA3,"Surfactant Metabolism Dysfunction, Pulmonary, 1",C1968602,0.45,2,0,disease,Respiratory Tract Diseases (C08); Disease or Syndrome (T047),OMIM_265120; MESH_C566882; OMIM_178640; NCI_C99068; ORDO_217563; DO_12120; MONDO_0012580; MONDO_0009929; UMLS_C1968602,21,ENSG00000167972,Q99758,Transporter,2004.0,2020.0,100147603
ABCA3,Abnormal pulmonary interstitial morphology,C5441745,0.45,0,0,disease,Anatomical Abnormality (T190); Abnormality of the respiratory system (02086),HPO_HP:0006530; MONDO_0015925; EFO_0004244; UMLS_C5441745,21,ENSG00000167972,Q99758,Transporter,,,115218673
ABCA3,Primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies,C5680383,0.4,20,0,disease,Disease or Syndrome (T047),ORDO_100049; UMLS_C5680383,21,ENSG00000167972,Q99758,Transporter,2005.0,2014.0,115274217
ABCA3,"Alveolitis, Fibrosing",C4721507,0.4,17,0,disease,"Respiratory Tract Diseases (C08); Pathological Conditions, Signs and Symptoms (C23); Disease or Syndrome (T047)",MESH_D011658; DO_3770; MONDO_0002771; EFO_0009448; UMLS_C4721507,21,ENSG00000167972,Q99758,Transporter,2005.0,2014.0,115057143
ABCA3,Malignant neoplasm of prostate,C0376358,0.4,9,0,disease,Neoplasms (C04); Urogenital Diseases (C12); Neoplastic Process (T191); disease of anatomical entity (7); disease of cellular proliferation (14566); Neoplasm (02664); Abnormality of the genitourinary system (00119),ICD10_C61; MESH_D011471; OMIM_176807; ICD9CM_185; OMIM_600020; OMIM_600185; HPO_HP:0012125; NCI_C7378; DO_10283; MONDO_0008315; MONDO_0700275; EFO_0000673; EFO_0001663; UMLS_C0376358,21,ENSG00000167972,Q99758,Transporter,2002.0,2022.0,70196157
ABCA3,Loeys-Dietz Syndrome,C2697932,0.4,5,0,disease,"Cardiovascular Diseases (C14); Musculoskeletal Diseases (C05); Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16); Disease or Syndrome (T047); syndrome (225); genetic disease (630)",NCI_C75006; MESH_D055947; ORDO_60030; DO_0050466; MONDO_0018954; UMLS_C2697932,21,ENSG00000167972,Q99758,Transporter,1993.0,2020.0,100304893
