Compound ID,	Common name,Gene Symbol,UniprotID,lit_n
C0226,Morphine,PTGS2,P35354,2
C0226,Morphine,PVALB,P20472,1
C0226,Morphine,SGK1,O00141,1
C0226,Morphine,SLC17A7,Q9P2U7,1
C0226,Morphine,SLC1A1,P43005,1
C0226,Morphine,SMPD1,P17405,1
C0226,Morphine,SOD2,P04179,1
C0226,Morphine,STAT3,P40763,2
C0226,Morphine,TH,P07101,1
C0226,Morphine,THBS1,P07996,1
C0226,Morphine,TLR4,O00206,1
C0226,Morphine,TNF,P01375,2
C0226,Morphine,TNFRSF1A,P19438,1
C0226,Morphine,TNFSF10,P50591,1
C0226,Morphine,TP53,P04637,1
C0226,Morphine,TRPV1,Q8NER1,1
C0226,Morphine,TXN,P10599,1
C0226,Morphine,UGT2B7,P16662,1
C0226,Morphine,VEGFA,P15692,2
C0227,Muscarine,CHRM4,P08173,1
C0228,M-Xylene,CYP2E1,P05181,2
C0228,M-Xylene,CYP4B1,P13584,1
C0228,M-Xylene,Cyp2b1,P00176,1
C0229,Myricetin,AATF,Q9NY61,1
C0229,Myricetin,ABCB1,P08183,1
C0229,Myricetin,AHR,P35869,1
C0229,Myricetin,AKT1,P31749,3
C0229,Myricetin,BAD,Q92934,1
C0229,Myricetin,BAX,Q07812,1
C0229,Myricetin,BMP2,P12643,1
C0229,Myricetin,CASP3,P42574,4
C0229,Myricetin,CASP8,Q14790,1
C0229,Myricetin,CD36,P16671,1
C0229,Myricetin,CDK5,Q00535,1
C0229,Myricetin,COMT,P21964,1
C0229,Myricetin,CTSK,P43235,1
C0229,Myricetin,CYP19A1,P11511,1
C0229,Myricetin,CYP2C9,P11712,1
C0229,Myricetin,CYP2D6,P10635,1
C0229,Myricetin,ESR1,P03372,1
C0229,Myricetin,FYN,P06241,1
C0229,Myricetin,GLP1R,P43220,1
C0229,Myricetin,IL1B,P01584,1
C0229,Myricetin,IL6,P05231,1
C0229,Myricetin,IMPDH1,P20839,1
C0229,Myricetin,IMPDH2,P12268,1
C0229,Myricetin,JAK1,P23458,1
C0229,Myricetin,JUN,P05412,1
C0229,Myricetin,MAPK1,P28482,1
C0229,Myricetin,MIR146B,nan,1
C0229,Myricetin,MMP2,P08253,1
C0229,Myricetin,MPO,P05164,1
C0229,Myricetin,PARP1,P09874,1
C0229,Myricetin,PCK1,P35558,1
C0229,Myricetin,PDX1,P52945,1
C0229,Myricetin,PIM1,P11309,1
C0229,Myricetin,PTGS2,P35354,1
C0229,Myricetin,PTP4A3,O75365,2
C0229,Myricetin,RPS6KA3,P51812,1
C0229,Myricetin,SLC2A4,P14672,1
C0229,Myricetin,SMAD1,Q15797,2
C0229,Myricetin,STAT3,P40763,1
C0229,Myricetin,TNF,P01375,3
C0229,Myricetin,TOP1,P11387,1
C0229,Myricetin,XDH,P47989,1
C0229,Myricetin,ZHX2,Q9Y6X8,1
C0230,Myricitrin,BAX,Q07812,1
C0230,Myricitrin,BCL2,P10415,1
C0230,Myricitrin,CASP3,P42574,1
C0230,Myricitrin,COMT,P21964,1
C0230,Myricitrin,MPO,P05164,1
C0231,MyristicAcid,SIGMAR1,Q99720,1
C0232,(R)-Cysteine,CSTB,P04080,1
C0232,(R)-Cysteine,CTSK,P43235,1
C0232,(R)-Cysteine,CTSS,P25774,1
C0232,(R)-Cysteine,IKBKB,O14920,1
C0232,(R)-Cysteine,NFKB1,P19838,1
C0232,(R)-Cysteine,PTPRH,Q9HD43,1
C0232,(R)-Cysteine,SERPINB3,P29508,1
C0233,(-)-Lobeline,CHRNA4,P43681,2
C0233,(-)-Lobeline,SLC18A2,Q05940,2
C0235,Nalorphine,OPRK1,P41145,1
C0236,Naloxone,HAVCR1,Q96D42,1
C0236,Naloxone,MPO,P05164,1
C0236,Naloxone,OPRK1,P41145,1
C0236,Naloxone,OPRM1,P35372,5
C0236,Naloxone,TLR4,O00206,2
C0237,Nanafrocin,DNMT3B,Q9UBC3,1
C0238,Nandrolone,AR,P10275,1
C0238,Nandrolone,DDIT4L,Q96D03,1
C0238,Nandrolone,FOXO1,Q12778,1
C0238,Nandrolone,MDM2,Q00987,1
C0238,Nandrolone,NGF,P01138,1
C0238,Nandrolone,NGFR,P08138,1
C0238,Nandrolone,RCAN2,Q14206,1
C0239,NandroloneDecanoate,NPY,P01303,1
C0240,Naphthalene,BCL2,P10415,1
C0240,Naphthalene,CXCL8,P10145,1
C0240,Naphthalene,CYP1A1,P04798,1
C0240,Naphthalene,FUS,P35637,1
C0240,Naphthalene,MPO,P05164,1
C0240,Naphthalene,UCHL1,P09936,1
C0241,Naproxen,CAT,P04040,1
C0241,Naproxen,COL10A1,Q03692,1
C0241,Naproxen,COX8A,P10176,1
C0241,Naproxen,GSK3B,P49841,2
C0241,Naproxen,HIF1A,Q16665,1
C0241,Naproxen,IL6,P05231,1
C0241,Naproxen,MMP2,P08253,1
C0241,Naproxen,PTGS1,P23219,1
C0241,Naproxen,PTGS2,P35354,2
C0241,Naproxen,TGFB1,P01137,1
C0241,Naproxen,TNF,P01375,1
C0242,Naringenin,AKT1,P31749,1
C0242,Naringenin,ATF3,P18847,1
C0242,Naringenin,CFTR,P13569,1
C0242,Naringenin,CYP19A1,P11511,1
C0242,Naringenin,CYP2C19,P33261,1
C0242,Naringenin,FOS,P01100,1
C0242,Naringenin,HSPA5,P11021,1
C0242,Naringenin,IL10,P22301,1
C0242,Naringenin,ITGB3,P05106,1
C0242,Naringenin,JUN,P05412,1
C0242,Naringenin,LDLR,P01130,1
C0242,Naringenin,MAPK1,P28482,1
C0242,Naringenin,MRC1,P22897,1
C0242,Naringenin,NFE2L2,Q16236,2
C0242,Naringenin,NFKB1,P19838,1
C0242,Naringenin,NR1H3,Q13133,1
C0242,Naringenin,PTEN,P60484,1
C0242,Naringenin,SMAD3,P84022,1
C0242,Naringenin,TF,P02787,1
C0242,Naringenin,TNF,P01375,2
C0243,Naringin,ABCB1,P08183,1
C0243,Naringin,ADRB2,P07550,1
C0243,Naringin,AKT1,P31749,1
C0243,Naringin,AQP1,P29972,1
C0243,Naringin,AQP5,P55064,1
C0243,Naringin,BCHE,P06276,1
C0243,Naringin,BMP2,P12643,1
C0243,Naringin,CFTR,P13569,1
C0243,Naringin,ESR1,P03372,1
C0243,Naringin,FOS,P01100,1
C0243,Naringin,GDNF,P39905,1
C0243,Naringin,GLO1,Q04760,1
C0243,Naringin,MIR126,nan,1
C0243,Naringin,MMP9,P14780,1
C0243,Naringin,NFATC1,O95644,1
C0243,Naringin,NFKB1,P19838,2
C0243,Naringin,NR1H3,Q13133,1
C0243,Naringin,PKB_RS07820,nan,1
C0243,Naringin,PTK2,Q05397,1
C0243,Naringin,SEMA3A,Q14563,1
C0243,Naringin,SLCO1A2,P46721,1
C0243,Naringin,SLCO2B1,O94956,1
C0243,Naringin,SRC,P12931,2
C0243,Naringin,ZEB1,P37275,1
C0244,NectandrinB,PRKAA1,Q13131,2
C0245,Niacin,ADIPOQ,Q15848,1
C0245,Niacin,APOB,P04114,2
C0245,Niacin,CETP,P11597,1
C0245,Niacin,HCAR2,Q8TDS4,1
C0245,Niacin,HIF1A,Q16665,1
C0245,Niacin,HP,P00738,1
C0245,Niacin,LIPG,Q9Y5X9,1
C0245,Niacin,LPL,P06858,1
C0245,Niacin,MAGEC3,Q8TD91,1
C0245,Niacin,MAPK14,Q16539,1
C0245,Niacin,NOS3,P29474,1
C0245,Niacin,SIRT1,Q96EB6,1
C0245,Niacin,TRPV1,Q8NER1,1
C0246,Niacinamide,ADIPOQ,Q15848,1
C0246,Niacinamide,BHMT,Q93088,1
C0246,Niacinamide,CD38,P28907,2
C0246,Niacinamide,CEBPE,Q15744,1
C0246,Niacinamide,H1-0,P07305,1
C0246,Niacinamide,KDM1A,O60341,1
C0246,Niacinamide,MAPK1,P28482,1
C0246,Niacinamide,MAPK3,P27361,1
C0246,Niacinamide,MCL1,Q07820,1
C0246,Niacinamide,PARP1,P09874,3
C0246,Niacinamide,PTGDS,P41222,1
C0246,Niacinamide,RAF1,P04049,1
C0246,Niacinamide,SARM1,Q6SZW1,1
C0246,Niacinamide,SIRT1,Q96EB6,28
C0246,Niacinamide,SIRT3,Q9NTG7,3
C0246,Niacinamide,TDO2,P48775,1
C0246,Niacinamide,UBE3A,Q05086,1
C0247,Nicotine,ABCA1,O95477,1
C0247,Nicotine,ABCB1,P08183,1
C0247,Nicotine,ABCG1,P45844,1
C0247,Nicotine,AKT1,P31749,1
C0247,Nicotine,BDNF,P23560,1
C0247,Nicotine,CARTPT,Q16568,1
C0247,Nicotine,CCN2,P29279,1
C0247,Nicotine,CD24,P25063,1
C0247,Nicotine,CDH1,P12830,1
C0247,Nicotine,CDH2,P19022,1
C0247,Nicotine,CHGA,P10645,1
C0247,Nicotine,CHRNA4,P43681,17
C0247,Nicotine,CHRNA5,P30532,1
C0247,Nicotine,CHRNA7,P36544,7
C0247,Nicotine,CREB1,P16220,1
C0247,Nicotine,CRHBP,P24387,1
C0247,Nicotine,CRHR1,P34998,1
C0247,Nicotine,CRHR2,Q13324,1
C0247,Nicotine,CRP,P02741,1
C0247,Nicotine,CYP3A4,P08684,1
C0247,Nicotine,DRD3,P35462,1
C0247,Nicotine,EGR1,P18146,1
C0247,Nicotine,ERBB4,Q15303,1
C0247,Nicotine,ESR2,Q92731,1
C0247,Nicotine,FLG,P20930,1
C0247,Nicotine,FOS,P01100,1
C0247,Nicotine,GAD1,Q99259,1
C0247,Nicotine,GAST,P01350,1
C0247,Nicotine,GHRL,Q9UBU3,1
C0247,Nicotine,HDAC6,Q9UBN7,2
C0247,Nicotine,HINT1,P49773,1
C0247,Nicotine,MAPK1,P28482,2
C0247,Nicotine,MAPK3,P27361,1
C0247,Nicotine,MCL1,Q07820,1
C0247,Nicotine,MGMT,P16455,1
C0247,Nicotine,MMP2,P08253,1
C0247,Nicotine,MMP9,P14780,1
C0247,Nicotine,NFKB1,P19838,1
C0247,Nicotine,NGF,P01138,1
C0247,Nicotine,NR1H3,Q13133,1
C0247,Nicotine,NR3C1,P04150,1
C0247,Nicotine,NRG3,P56975,1
C0247,Nicotine,PAK1,Q13153,1
C0247,Nicotine,PIK3CB,P42338,1
C0247,Nicotine,PNPLA2,Q96AD5,1
C0247,Nicotine,PPP1R12A,O14974,1
C0247,Nicotine,PTHLH,P12272,1
C0247,Nicotine,SCARB1,Q8WTV0,1
C0247,Nicotine,SHC1,P29353,1
C0247,Nicotine,SLC1A3,P43003,1
C0247,Nicotine,STAT3,P40763,1
C0247,Nicotine,TET2,Q6N021,1
C0247,Nicotine,TNFSF9,P41273,1
C0247,Nicotine,UGT2B10,P36537,1
C0247,Nicotine,VCAM1,P19320,1
C0247,Nicotine,VIM,P08670,1
C0248,Nifedipine,ADRB2,P07550,1
C0248,Nifedipine,CACNA1I,Q9P0X4,1
C0248,Nifedipine,CACNA1S,Q13698,1
C0248,Nifedipine,CALM3;CALM1;CALM2,P0DP25;P0DP23;P0DP24,1
C0248,Nifedipine,CCL2,P13500,1
C0248,Nifedipine,MYH11,P35749,1
C0248,Nifedipine,NOS1,P29475,1
C0248,Nifedipine,PPARG,P37231,1
C0248,Nifedipine,TFRC,P02786,2
C0248,Nifedipine,TNNI3,P19429,1
C0248,Nifedipine,TRPM3,Q9HCF6,2
C0249,Nobiletin,BAX,Q07812,2
C0249,Nobiletin,BCL2,P10415,2
C0249,Nobiletin,CASP9,P55211,1
C0249,Nobiletin,CREB1,P16220,1
C0249,Nobiletin,JUN,P05412,1
C0249,Nobiletin,KIT,P10721,1
C0249,Nobiletin,MAPK8,P45983,1
C0249,Nobiletin,MMP2,P08253,1
C0249,Nobiletin,NFKB1,P19838,1
C0249,Nobiletin,PLA2G4A,P47712,1
C0249,Nobiletin,PPARG,P37231,1
C0249,Nobiletin,PTGS2,P35354,1
C0249,Nobiletin,TIMP1,P01033,1
C0249,Nobiletin,TP53,P04637,1
C0249,Nobiletin,TXNIP,Q9H3M7,2
C0249,Nobiletin,XPO1,O14980,1
C0250,Nodakenin,ACHE,P22303,1
C0251,Nonane,CCL2,P13500,1
C0251,Nonane,IL1A,P01583,1
C0251,Nonane,TNF,P01375,1
C0252,Nootkatone,PRKAA1,Q13131,2
C0252,Nootkatone,PRKAA2,P54646,1
C0253,Norathyriol,PTPN1,P18031,1
C0254,NordihydroguaiareticAcid,CRTC1,Q6UUV9,2
C0254,NordihydroguaiareticAcid,F2RL1,P55085,1
C0254,NordihydroguaiareticAcid,LOX,P28300,4
C0254,NordihydroguaiareticAcid,NEIL2,Q969S2,1
C0254,NordihydroguaiareticAcid,NOS3,P29474,1
C0254,NordihydroguaiareticAcid,SLC2A1,P11166,1
C0255,Norepinephrine,ADRB2,P07550,1
C0255,Norepinephrine,AQP2,P41181,1
C0255,Norepinephrine,BDNF,P23560,1
C0255,Norepinephrine,CD40,P25942,1
C0255,Norepinephrine,COMT,P21964,1
C0255,Norepinephrine,CREM,Q03060,1
C0255,Norepinephrine,DBH,P09172,1
C0255,Norepinephrine,EDN1,P05305,1
C0255,Norepinephrine,ESR1,P03372,1
C0255,Norepinephrine,FGF2,P09038,1
C0255,Norepinephrine,FOS,P01100,1
C0255,Norepinephrine,GJA1,P17302,1
C0255,Norepinephrine,HP,P00738,1
C0255,Norepinephrine,IL6,P05231,1
C0255,Norepinephrine,LEP,P41159,1
C0255,Norepinephrine,MAOA,P21397,1
C0255,Norepinephrine,NFE2L2,Q16236,1
C0255,Norepinephrine,NOS2,P35228,1
C0255,Norepinephrine,NOX1,Q9Y5S8,1
C0255,Norepinephrine,OXT,P01178,1
C0255,Norepinephrine,PER1,O15534,1
C0255,Norepinephrine,PPARG,P37231,1
C0255,Norepinephrine,PRL,P01236,1
C0255,Norepinephrine,PTGS2,P35354,1
C0255,Norepinephrine,SLC16A7,O60669,2
C0255,Norepinephrine,SLC4A4,Q9Y6R1,1
C0255,Norepinephrine,SLC5A2,P31639,1
C0255,Norepinephrine,SLC9A3,P48764,1
C0255,Norepinephrine,TH,P07101,1
C0255,Norepinephrine,TNF,P01375,1
C0255,Norepinephrine,UCP1,P25874,1
C0255,Norepinephrine,UCP2,P55851,1
C0256,Noscapine,AHR,P35869,1
C0256,Noscapine,HIF1A,Q16665,1
C0257,Obacunone,GPBAR1,Q8TDU6,1
C0258,OctanoicAcid,FABP1,P07148,1
C0258,OctanoicAcid,ISYNA1,Q9NPH2,1
C0259,Octanol,TRPA1,O75762,1
C0260,Octopamine,ADRB1,P08588,1
C0260,Octopamine,ADRB2,P07550,1
C0260,Octopamine,ADRB3,P13945,2
C0261,Oleamide,CNR1,P21554,3
C0262,Oleanolic_Acid,CASP3,P42574,1
C0262,Oleanolic_Acid,CASP9,P55211,1
C0262,Oleanolic_Acid,HMOX1,P09601,1
C0262,Oleanolic_Acid,ICAM1,P05362,1
C0262,Oleanolic_Acid,NQO1,P15559,1
C0263,OleicAcid,AQP3,Q92482,1
C0263,OleicAcid,AQP9,O43315,1
C0263,OleicAcid,BCL2,P10415,1
C0263,OleicAcid,BDNF,P23560,1
C0263,OleicAcid,CCK,P06307,1
C0263,OleicAcid,CETP,P11597,1
C0263,OleicAcid,CRP,P02741,1
C0263,OleicAcid,DNPEP,Q9ULA0,1
C0263,OleicAcid,EDN1,P05305,1
C0263,OleicAcid,ERBB2,P04626,1
C0263,OleicAcid,FABP1,P07148,1
C0263,OleicAcid,FABP5,Q01469,1
C0263,OleicAcid,GAP43,P17677,1
C0263,OleicAcid,GCG,P01275,1
C0263,OleicAcid,GLP1R,P43220,1
C0263,OleicAcid,HMGCR,P04035,1
C0263,OleicAcid,INS,P01308,1
C0263,OleicAcid,LALBA,P00709,1
C0263,OleicAcid,MMP13,P45452,1
C0263,OleicAcid,MMP3,P08254,1
C0263,OleicAcid,MPO,P05164,1
C0263,OleicAcid,MSI1,O43347,1
C0263,OleicAcid,NOS2,P35228,2
C0263,OleicAcid,NTRK2,Q16620,1
C0263,OleicAcid,PAM,P19021,1
C0263,OleicAcid,PDX1,P52945,1
C0263,OleicAcid,PLG,P00747,1
C0263,OleicAcid,PON1,P27169,1
C0263,OleicAcid,PPARA,Q07869,2
C0263,OleicAcid,PPARD,Q03181,1
C0263,OleicAcid,PPARG,P37231,1
C0263,OleicAcid,PRSS1,P07477,1
C0263,OleicAcid,RBP2,P50120,1
C0263,OleicAcid,SERPINE1,P05121,1
C0263,OleicAcid,SLC2A2,P11168,1
C0263,OleicAcid,SOAT1,P35610,1
C0263,OleicAcid,STAT5A,P42229,1
C0263,OleicAcid,STAT5B,P51692,1
C0263,OleicAcid,UCP2,P55851,1
C0263,OleicAcid,UCP3,P55916,1
C0264,Oleoylethanolamide,GPR119,Q8TDV5,1
C0264,Oleoylethanolamide,PPARA,Q07869,11
C0265,Oleuropein,AKT1,P31749,1
C0265,Oleuropein,BAX,Q07812,1
C0265,Oleuropein,BCL2,P10415,1
C0265,Oleuropein,CASP3,P42574,1
C0265,Oleuropein,CCND1,P24385,1
C0265,Oleuropein,PIGK,Q92643,1
C0265,Oleuropein,PPARG,P37231,1
C0266,Orcinol,NR1I2,O75469,1
C0267,OroxylinA,ABCB1,P08183,2
C0267,OroxylinA,BCL2,P10415,1
C0267,OroxylinA,CASP3,P42574,1
C0267,OroxylinA,CCNA2,P20248,1
C0267,OroxylinA,CCNB1,P14635,1
C0267,OroxylinA,CDK1,P06493,1
C0267,OroxylinA,CDK7,P50613,1
C0267,OroxylinA,CTNNB1,P35222,1
C0267,OroxylinA,CYP1A2,P05177,1
C0267,OroxylinA,CYP2C9,P11712,1
C0267,OroxylinA,GABRG1,Q8N1C3,1
C0267,OroxylinA,IL6,P05231,1
C0267,OroxylinA,SIRT3,Q9NTG7,1
C0267,OroxylinA,TIGAR,Q9NQ88,1
C0267,OroxylinA,TIMP2,P16035,1
C0268,Osajin,RPS6KA3,P51812,1
C0269,Oseltamivir,NEU1,Q99519,25
C0270,Osthenol,MAOA,P21397,2
C0271,Osthole,ABCB1,P08183,1
C0271,Osthole,AKT1,P31749,2
C0271,Osthole,APP,P05067,1
C0271,Osthole,BACE1,P56817,1
C0271,Osthole,BMP2,P12643,1
C0271,Osthole,CASP3,P42574,1
C0271,Osthole,CTNNB1,P35222,1
C0271,Osthole,DGAT1,O75907,1
C0271,Osthole,DIABLO,Q9NR28,1
C0271,Osthole,ERCC1,P07992,1
C0271,Osthole,FASN,P49327,1
C0271,Osthole,HMGCR,P04035,1
C0271,Osthole,ICAM1,P05362,1
C0271,Osthole,IL6,P05231,1
C0271,Osthole,MAPK1,P28482,1
C0271,Osthole,MIR107,nan,1
C0271,Osthole,MPO,P05164,1
C0271,Osthole,NFKB1,P19838,1
C0271,Osthole,NFKBIA,P25963,1
C0271,Osthole,PTGS2,P35354,2
C0271,Osthole,PTK2,Q05397,1
C0271,Osthole,SMAD1,Q15797,1
C0271,Osthole,TNF,P01375,1
C0271,Osthole,VCAM1,P19320,1
C0271,Osthole,VEGFA,P15692,1
C0272,Ouabain,ABCB1,P08183,1
C0272,Ouabain,ATP1A1,P05023,1
C0272,Ouabain,CASP3,P42574,1
C0272,Ouabain,COL1A1,P02452,1
C0272,Ouabain,EGFR,P00533,2
C0272,Ouabain,FN1,P02751,1
C0272,Ouabain,OCLN,Q16625,1
C0272,Ouabain,TAC1,P20366,3
C0273,Oxidopamine,PPP1R1B,Q9UD71,1
C0274,Oxiglutatione,STAT3,P40763,1
C0275,Oxitriptan,NPY,P01303,1
C0275,Oxitriptan,SLC15A1,P46059,1
C0275,Oxitriptan,SLC36A1,Q7Z2H8,1
C0276,Oxycodone,NFKBIA,P25963,1
C0276,Oxycodone,OPRK1,P41145,1
C0276,Oxycodone,OPRM1,P35372,3
C0276,Oxycodone,TNF,P01375,1
C0277,O-Xylene,CYP1A1,P04798,1
C0277,O-Xylene,Cyp2b1,P00176,1
C0278,Oxypurinol,NOS2,P35228,1
C0278,Oxypurinol,SLC2A9,Q9NRM0,1
C0278,Oxypurinol,XDH,P47989,2
C0279,Oxyresveratrol,PDE4D,Q08499,1
C0279,Oxyresveratrol,TYR,P14679,1
C0280,Oxytocin,AKT1,P31749,1
C0280,Oxytocin,CNP,P09543,1
C0280,Oxytocin,ENO2,P09104,1
C0280,Oxytocin,GFAP,P14136,1
C0280,Oxytocin,HSPB1,P04792,1
C0280,Oxytocin,MAP2,P11137,1
C0280,Oxytocin,MAPK1,P28482,1
C0280,Oxytocin,NPPA,P01160,1
C0280,Oxytocin,OXT,P01178,1
C0280,Oxytocin,OXTR,P30559,1
C0280,Oxytocin,RAC1,P63000,1
C0280,Oxytocin,SLC12A5,Q9H2X9,1
C0280,Oxytocin,SLC18A2,Q05940,1
C0281,Paclitaxel,ATP7A,Q04656,1
C0281,Paclitaxel,BCL2,P10415,1
C0281,Paclitaxel,CASP1,P29466,1
C0281,Paclitaxel,CASP8,Q14790,1
C0281,Paclitaxel,CASP9,P55211,1
C0281,Paclitaxel,CCND1,P24385,1
C0281,Paclitaxel,CD274,Q9NZQ7,1
C0281,Paclitaxel,CDA,P32320,1
C0281,Paclitaxel,CDK1,P06493,1
C0281,Paclitaxel,CENPE,Q02224,1
C0281,Paclitaxel,CLCN3,P51790,1
C0281,Paclitaxel,CYP3A4,P08684,1
C0281,Paclitaxel,EGFR,P00533,1
C0281,Paclitaxel,EIF4E,P06730,1
C0281,Paclitaxel,EIF4EBP1,Q13541,1
C0281,Paclitaxel,FOXM1,Q08050,1
C0281,Paclitaxel,HIF1A,Q16665,3
C0281,Paclitaxel,IL10,P22301,1
C0281,Paclitaxel,IRAK1,P51617,1
C0281,Paclitaxel,ITPR1,Q14643,1
C0281,Paclitaxel,MAP3K1,Q13233,1
C0281,Paclitaxel,MAPK8,P45983,1
C0281,Paclitaxel,MELK,Q14680,1
C0281,Paclitaxel,MIR143,nan,1
C0281,Paclitaxel,MIR145,nan,1
C0281,Paclitaxel,MIR182,nan,1
C0281,Paclitaxel,MIR183,nan,1
C0281,Paclitaxel,MIR197,nan,1
C0281,Paclitaxel,MIR216B,nan,1
C0281,Paclitaxel,MIR96,nan,1
C0281,Paclitaxel,MTOR,P42345,1
C0281,Paclitaxel,NFKB1,P19838,1
C0281,Paclitaxel,NOS3,P29474,1
C0281,Paclitaxel,NR1I2,O75469,1
C0281,Paclitaxel,NR5A1,Q13285,1
C0281,Paclitaxel,PKD2,Q13563,1
C0281,Paclitaxel,POU5F1,Q01860,2
C0281,Paclitaxel,PRC1,O43663,1
C0281,Paclitaxel,PRKAR1A,P10644,1
C0281,Paclitaxel,PTEN,P60484,1
C0281,Paclitaxel,SELENOS,Q9BQE4,1
C0281,Paclitaxel,SRSF3,P84103,1
C0281,Paclitaxel,STAT3,P40763,4
C0281,Paclitaxel,TF,P02787,1
C0281,Paclitaxel,TGFB1,P01137,1
C0281,Paclitaxel,THBD,P07204,1
C0281,Paclitaxel,TLR4,O00206,1
C0281,Paclitaxel,TNF,P01375,1
C0281,Paclitaxel,TRPA1,O75762,1
C0281,Paclitaxel,TUBA1B,P68363,1
C0281,Paclitaxel,TXNDC17,Q9BRA2,1
C0281,Paclitaxel,VASP,P50552,1
C0281,Paclitaxel,VEGFA,P15692,1
C0282,Paeoniflorin,ALB,P02768,1
C0282,Paeoniflorin,APP,P05067,1
C0282,Paeoniflorin,HIF1A,Q16665,1
C0282,Paeoniflorin,IGF1,P05019,1
C0282,Paeoniflorin,MIR29B1,nan,1
C0282,Paeoniflorin,MMP9,P14780,1
C0282,Paeoniflorin,PTGS2,P35354,1
C0282,Paeoniflorin,SNCA,P37840,1
C0282,Paeoniflorin,SOCS3,O14543,1
C0282,Paeoniflorin,TLR2,O60603,1
C0282,Paeoniflorin,TNF,P01375,1
C0282,Paeoniflorin,VEGFA,P15692,1
C0283,Paeonol,BAX,Q07812,1
C0283,Paeonol,BCL2,P10415,1
C0283,Paeonol,ICAM1,P05362,1
C0283,Paeonol,IKBKB,O14920,1
C0283,Paeonol,IL1B,P01584,1
C0283,Paeonol,IL2,P60568,1
C0283,Paeonol,MAOA,P21397,1
C0283,Paeonol,MAOB,P27338,1
C0283,Paeonol,MAPK1,P28482,1
C0283,Paeonol,MIR21,nan,1
C0283,Paeonol,MIR30A,nan,1
C0283,Paeonol,NFKBIA,P25963,1
C0283,Paeonol,NOTCH1,P46531,1
C0283,Paeonol,PBK,Q96KB5,1
C0283,Paeonol,PKB_RS07820,nan,1
C0283,Paeonol,PTEN,P60484,1
C0283,Paeonol,PTGS2,P35354,1
C0283,Paeonol,RELA,Q04206,2
C0283,Paeonol,TNF,P01375,1
C0283,Paeonol,TNNI3,P19429,1
C0283,Paeonol,TYR,P14679,1
C0284,Palmidrol,IL1A,P01583,1
C0284,Palmidrol,PPARA,Q07869,5
C0285,PalmiticAcid,ABHD15,Q6UXT9,1
C0285,PalmiticAcid,APOM,O95445,1
C0285,PalmiticAcid,BCL2,P10415,1
C0285,PalmiticAcid,CRTC2,Q53ET0,1
C0285,PalmiticAcid,GUCA2A,Q02747,1
C0285,PalmiticAcid,IDE,P14735,1
C0285,PalmiticAcid,IL10,P22301,1
C0285,PalmiticAcid,IL1A,P01583,1
C0285,PalmiticAcid,PTEN,P60484,1
C0285,PalmiticAcid,TLR2,O60603,1
C0285,PalmiticAcid,TNF,P01375,1
C0285,PalmiticAcid,YWHAZ,P63104,1
C0286,Palmitine,TH,P07101,1
C0287,PalmitoleicAcid,EIF2AK2,P19525,8
C0288,PamoicAcid,GPR35,Q9HC97,2
C0288,PamoicAcid,POLB,P06746,1
C0289,Pantoprazole,ABCG2,Q9UNQ0,2
C0289,Pantoprazole,ATP4A,P20648,5
C0289,Pantoprazole,CYP2C19,P33261,1
C0289,Pantoprazole,PBK,Q96KB5,1
C0289,Pantoprazole,SLC22A2,O15244,1
C0290,Papaverine,ADM,P35318,1
C0290,Papaverine,PDE10A,Q9Y233,2
C0291,Paraben,MIP,P30301,1
C0292,Parathion,AHR,P35869,1
C0293,Paroxypropione,PREP,P48147,1
C0294,Pelargonidin,CYP1A1,P04798,1
C0294,Pelargonidin,ESR1,P03372,1
C0294,Pelargonidin,PTK2,Q05397,1
C0295,Pentachlorophenol,CHST10,O43529,1
C0295,Pentachlorophenol,SULT1A1,P50225,1
C0296,Pentazocine,OPRK1,P41145,1
C0297,Permethrin,HSPA4,P34932,1
C0298,Phenanthrene,PARP1,P09874,1
C0299,Phenethylamine,CNR1,P21554,1
C0299,Phenethylamine,CNR2,P34972,1
C0299,Phenethylamine,HTR2A,P28223,1
C0299,Phenethylamine,PPARA,Q07869,2
C0300,Phenol,ACE,P12821,1
C0300,Phenol,AGTR2,P50052,1
C0300,Phenol,MB,P02144,1
C0300,Phenol,STAT3,P40763,1
C0301,Phenylephrine,ADRA1A,P35348,2
C0301,Phenylephrine,ADRA1B,P35368,1
C0301,Phenylephrine,ADRA1D,P25100,1
C0301,Phenylephrine,AGT,P01019,1
C0301,Phenylephrine,NAMPT,P43490,1
C0301,Phenylephrine,NPPA,P01160,1
C0301,Phenylephrine,SIRT1,Q96EB6,1
C0302,Phloretin,HMOX1,P09601,1
C0302,Phloretin,ICAM1,P05362,1
C0302,Phloretin,PTGS2,P35354,1
C0302,Phloretin,SLC16A1,P53985,1
C0302,Phloretin,SLC23A1,Q9UHI7,1
C0302,Phloretin,SLC23A2,Q9UGH3,1
C0302,Phloretin,SLC2A1,P11166,4
C0302,Phloretin,SLC2A2,P11168,3
C0302,Phloretin,SREBF1,P36956,1
C0302,Phloretin,TLR2,O60603,1
C0303,Phlorizin,ANGPTL4,Q9BY76,1
C0303,Phlorizin,MFSD4B,Q5TF39,1
C0303,Phlorizin,NFE2L2,Q16236,1
C0303,Phlorizin,SLC2A2,P11168,1
C0303,Phlorizin,SLC5A1,P13866,9
