Gene1	Gene2	combine_score
AAAS	HSPA1A	0.400
AAAS	HSPA1B	0.400
AAAS	HSPA1L	0.400
AAAS	HSPA2	0.405
AAAS	HSPA4	0.416
AAAS	HSPA4L	0.405
AAAS	HSPA5	0.400
AAAS	HSPA6	0.413
AAAS	HSPA8	0.416
AAAS	HSPA9	0.413
AAAS	INCENP	0.451
AAAS	INTS9	0.451
AAAS	JMJD6	0.304
AAAS	KIF20A	0.357
AAAS	KPNB1	0.705
AAAS	LIG1	0.451
AAAS	MAGOH	0.767
AAAS	MAGOHB	0.762
AAAS	MC2R	0.651
AAAS	MKS1	0.527
AAAS	NCBP1	0.513
AAAS	NCBP2	0.513
AAAS	NNT	0.361
AAAS	NPM1	0.511
AAAS	NTF3	0.355
AAAS	NUP133	0.957
AAAS	NUP153	0.940
AAAS	NUP214	0.992
AAAS	NUP62	0.944
AAAS	NUP98	0.960
AAAS	NXF1	0.548
AAAS	NXT1	0.563
AAAS	PAPSS2	0.320
AAAS	PGR	0.327
AAAS	PML	0.400
AAAS	POMC	0.759
AAAS	PSMB7	0.366
AAAS	RAN	0.512
AAAS	RANBP2	0.995
AAAS	RBM8A	0.516
AAAS	RHOA	0.566
AAAS	SEC13	0.952
AAAS	SEC24C	0.391
AAAS	SMN1	0.401
AAAS	SNRPB	0.426
AAAS	SNRPD1	0.460
AAAS	SNRPD2	0.485
AAAS	SNRPD3	0.453
AAAS	SNRPE	0.476
AAAS	SNUPN	0.420
AAAS	SP100	0.403
AAAS	SRSF1	0.476
AAAS	SRSF4	0.405
AAAS	SRSF5	0.414
AAAS	SRSF6	0.435
AAAS	SRSF9	0.421
AAAS	SST	0.416
AAAS	SUMO1	0.449
AAAS	SUMO2	0.408
AAAS	SUMO3	0.405
AAAS	SYMPK	0.426
AAAS	TARBP2	0.422
AAAS	TOP2A	0.440
AAAS	TRIM28	0.323
AAAS	U2AF2	0.453
AAAS	UBE2I	0.715
AAAS	USP21	0.267
AAAS	VIP	0.497
AAAS	ZNF26	0.200
AACS	AASDHPPT	0.245
AACS	ACAA1	0.564
AACS	ACAA2	0.561
AACS	ACACB	0.411
AACS	ACAD10	0.334
AACS	ACAD11	0.347
AACS	ACAD8	0.377
AACS	ACAD9	0.424
AACS	ACADL	0.432
AACS	ACADM	0.405
AACS	ACADS	0.387
AACS	ACADSB	0.444
AACS	ACADVL	0.425
AACS	ACAT1	0.962
AACS	ACAT2	0.958
AACS	ACLY	0.595
AACS	ACO1	0.377
AACS	ACO2	0.413
AACS	ACOT11	0.399
AACS	ACOX1	0.490
AACS	ACOX2	0.424
AACS	ACOX3	0.413
AACS	ACOXL	0.377
