protein,relation,pathway
HELZ2,associatedWith,R-HSA-1368082
MED1,associatedWith,R-HSA-1368082
NCOA1,associatedWith,R-HSA-1368082
NCOA2,associatedWith,R-HSA-1368082
NCOA6,associatedWith,R-HSA-1368082
PPARA,associatedWith,R-HSA-1368082
RORA,associatedWith,R-HSA-1368082
RXRA,associatedWith,R-HSA-1368082
SMARCD3,associatedWith,R-HSA-1368082
SREBF1,associatedWith,R-HSA-1368082
TBL1X,associatedWith,R-HSA-1368082
TBL1XR1,associatedWith,R-HSA-1368082
TGS1,associatedWith,R-HSA-1368082
ARNTL,associatedWith,R-HSA-1368108
ARNTL2,associatedWith,R-HSA-1368108
AVP,associatedWith,R-HSA-1368108
BHLHE40,associatedWith,R-HSA-1368108
BHLHE41,associatedWith,R-HSA-1368108
CARM1,associatedWith,R-HSA-1368108
CHD9,associatedWith,R-HSA-1368108
CLOCK,associatedWith,R-HSA-1368108
CREBBP,associatedWith,R-HSA-1368108
DBP,associatedWith,R-HSA-1368108
F7,associatedWith,R-HSA-1368108
HELZ2,associatedWith,R-HSA-1368108
KLF15,associatedWith,R-HSA-1368108
MED1,associatedWith,R-HSA-1368108
NAMPT,associatedWith,R-HSA-1368108
NCOA1,associatedWith,R-HSA-1368108
NCOA2,associatedWith,R-HSA-1368108
NCOA6,associatedWith,R-HSA-1368108
NOCT,associatedWith,R-HSA-1368108
NPAS2,associatedWith,R-HSA-1368108
PPARA,associatedWith,R-HSA-1368108
RXRA,associatedWith,R-HSA-1368108
SERPINE1,associatedWith,R-HSA-1368108
SMARCD3,associatedWith,R-HSA-1368108
TBL1X,associatedWith,R-HSA-1368108
TBL1XR1,associatedWith,R-HSA-1368108
TGS1,associatedWith,R-HSA-1368108
ABCB10,associatedWith,R-HSA-1369007
ABCB6,associatedWith,R-HSA-1369007
ABCB7,associatedWith,R-HSA-1369007
ABCB8,associatedWith,R-HSA-1369007
ABCA10,associatedWith,R-HSA-1369062
ABCA12,associatedWith,R-HSA-1369062
ABCA2,associatedWith,R-HSA-1369062
ABCA3,associatedWith,R-HSA-1369062
ABCA5,associatedWith,R-HSA-1369062
ABCA6,associatedWith,R-HSA-1369062
ABCA7,associatedWith,R-HSA-1369062
ABCA9,associatedWith,R-HSA-1369062
ABCD1,associatedWith,R-HSA-1369062
ABCD2,associatedWith,R-HSA-1369062
ABCD3,associatedWith,R-HSA-1369062
ABCG1,associatedWith,R-HSA-1369062
ABCG4,associatedWith,R-HSA-1369062
ABCG5,associatedWith,R-HSA-1369062
ABCG8,associatedWith,R-HSA-1369062
APOA1,associatedWith,R-HSA-1369062
PEX19,associatedWith,R-HSA-1369062
PEX3,associatedWith,R-HSA-1369062
ITPR1,associatedWith,R-HSA-139853
ITPR2,associatedWith,R-HSA-139853
ITPR3,associatedWith,R-HSA-139853
ORAI1,associatedWith,R-HSA-139853
ORAI2,associatedWith,R-HSA-139853
P2RX1,associatedWith,R-HSA-139853
P2RX2,associatedWith,R-HSA-139853
P2RX3,associatedWith,R-HSA-139853
P2RX4,associatedWith,R-HSA-139853
P2RX5,associatedWith,R-HSA-139853
P2RX6,associatedWith,R-HSA-139853
P2RX7,associatedWith,R-HSA-139853
STIM1,associatedWith,R-HSA-139853
TRPC3,associatedWith,R-HSA-139853
TRPC6,associatedWith,R-HSA-139853
TRPC7,associatedWith,R-HSA-139853
BMF,associatedWith,R-HSA-139910
DYNLL2,associatedWith,R-HSA-139910
MAPK8,associatedWith,R-HSA-139910
BBC3,associatedWith,R-HSA-139915
E2F1,associatedWith,R-HSA-139915
PPP1R13B,associatedWith,R-HSA-139915
TFDP1,associatedWith,R-HSA-139915
TFDP2,associatedWith,R-HSA-139915
TP53,associatedWith,R-HSA-139915
TP53BP2,associatedWith,R-HSA-139915
TP63,associatedWith,R-HSA-139915
TP73,associatedWith,R-HSA-139915
PTGS1,associatedWith,R-HSA-140180
CASP3,associatedWith,R-HSA-140342
DFFA,associatedWith,R-HSA-140342
DFFB,associatedWith,R-HSA-140342
H1F0,associatedWith,R-HSA-140342
HIST1H1A,associatedWith,R-HSA-140342
HIST1H1B,associatedWith,R-HSA-140342
HIST1H1C,associatedWith,R-HSA-140342
HIST1H1D,associatedWith,R-HSA-140342
HIST1H1E,associatedWith,R-HSA-140342
HMGB1,associatedWith,R-HSA-140342
HMGB2,associatedWith,R-HSA-140342
KPNA1,associatedWith,R-HSA-140342
KPNB1,associatedWith,R-HSA-140342
CASP8,associatedWith,R-HSA-140534
CD14,associatedWith,R-HSA-140534
FADD,associatedWith,R-HSA-140534
FAS,associatedWith,R-HSA-140534
FASLG,associatedWith,R-HSA-140534
LY96,associatedWith,R-HSA-140534
RIPK1,associatedWith,R-HSA-140534
TICAM1,associatedWith,R-HSA-140534
TICAM2,associatedWith,R-HSA-140534
TLR4,associatedWith,R-HSA-140534
TNFRSF10A,associatedWith,R-HSA-140534
TNFRSF10B,associatedWith,R-HSA-140534
TNFSF10,associatedWith,R-HSA-140534
TRADD,associatedWith,R-HSA-140534
TRAF2,associatedWith,R-HSA-140534
F10,associatedWith,R-HSA-140834
F3,associatedWith,R-HSA-140834
F7,associatedWith,R-HSA-140834
F9,associatedWith,R-HSA-140834
TFPI,associatedWith,R-HSA-140834
A2M,associatedWith,R-HSA-140837
C1QBP,associatedWith,R-HSA-140837
F10,associatedWith,R-HSA-140837
F11,associatedWith,R-HSA-140837
F12,associatedWith,R-HSA-140837
F2,associatedWith,R-HSA-140837
F8,associatedWith,R-HSA-140837
F9,associatedWith,R-HSA-140837
GP1BA,associatedWith,R-HSA-140837
GP1BB,associatedWith,R-HSA-140837
GP5,associatedWith,R-HSA-140837
GP9,associatedWith,R-HSA-140837
KLKB1,associatedWith,R-HSA-140837
KNG1,associatedWith,R-HSA-140837
PRCP,associatedWith,R-HSA-140837
PROC,associatedWith,R-HSA-140837
SERPINA5,associatedWith,R-HSA-140837
SERPINC1,associatedWith,R-HSA-140837
SERPIND1,associatedWith,R-HSA-140837
SERPINE2,associatedWith,R-HSA-140837
SERPING1,associatedWith,R-HSA-140837
SHH,associatedWith,R-HSA-140837
SHMT1,associatedWith,R-HSA-140837
VWF,associatedWith,R-HSA-140837
CD177,associatedWith,R-HSA-140875
F10,associatedWith,R-HSA-140875
F13A1,associatedWith,R-HSA-140875
F13B,associatedWith,R-HSA-140875
F2,associatedWith,R-HSA-140875
F2R,associatedWith,R-HSA-140875
F5,associatedWith,R-HSA-140875
F8,associatedWith,R-HSA-140875
FGA,associatedWith,R-HSA-140875
FGB,associatedWith,R-HSA-140875
FGG,associatedWith,R-HSA-140875
PF4,associatedWith,R-HSA-140875
PF4V1,associatedWith,R-HSA-140875
PROC,associatedWith,R-HSA-140875
PROCR,associatedWith,R-HSA-140875
PROS1,associatedWith,R-HSA-140875
PRTN3,associatedWith,R-HSA-140875
SERPINA5,associatedWith,R-HSA-140875
SERPINC1,associatedWith,R-HSA-140875
SERPIND1,associatedWith,R-HSA-140875
SERPINE2,associatedWith,R-HSA-140875
SHH,associatedWith,R-HSA-140875
SHMT1,associatedWith,R-HSA-140875
THBD,associatedWith,R-HSA-140875
MAOA,associatedWith,R-HSA-141333
MAOB,associatedWith,R-HSA-141333
PAOX,associatedWith,R-HSA-141334
SMOX,associatedWith,R-HSA-141334
CDC20,associatedWith,R-HSA-141405
MAD2L1,associatedWith,R-HSA-141405
ANAPC1,associatedWith,R-HSA-141430
ANAPC10,associatedWith,R-HSA-141430
ANAPC11,associatedWith,R-HSA-141430
ANAPC15,associatedWith,R-HSA-141430
ANAPC16,associatedWith,R-HSA-141430
ANAPC2,associatedWith,R-HSA-141430
ANAPC4,associatedWith,R-HSA-141430
ANAPC5,associatedWith,R-HSA-141430
ANAPC7,associatedWith,R-HSA-141430
BUB1B,associatedWith,R-HSA-141430
BUB3,associatedWith,R-HSA-141430
CDC16,associatedWith,R-HSA-141430
CDC20,associatedWith,R-HSA-141430
CDC23,associatedWith,R-HSA-141430
CDC26,associatedWith,R-HSA-141430
CDC27,associatedWith,R-HSA-141430
MAD2L1,associatedWith,R-HSA-141430
UBE2C,associatedWith,R-HSA-141430
UBE2D1,associatedWith,R-HSA-141430
UBE2E1,associatedWith,R-HSA-141430
AHCTF1,associatedWith,R-HSA-141444
AURKB,associatedWith,R-HSA-141444
B9D2,associatedWith,R-HSA-141444
BIRC5,associatedWith,R-HSA-141444
BUB1,associatedWith,R-HSA-141444
BUB1B,associatedWith,R-HSA-141444
BUB3,associatedWith,R-HSA-141444
CDC20,associatedWith,R-HSA-141444
CDCA8,associatedWith,R-HSA-141444
CENPA,associatedWith,R-HSA-141444
CENPC,associatedWith,R-HSA-141444
CENPE,associatedWith,R-HSA-141444
CENPF,associatedWith,R-HSA-141444
CENPH,associatedWith,R-HSA-141444
CENPI,associatedWith,R-HSA-141444
CENPK,associatedWith,R-HSA-141444
CENPL,associatedWith,R-HSA-141444
CENPM,associatedWith,R-HSA-141444
CENPN,associatedWith,R-HSA-141444
CENPO,associatedWith,R-HSA-141444
CENPP,associatedWith,R-HSA-141444
CENPQ,associatedWith,R-HSA-141444
CENPS,associatedWith,R-HSA-141444
CENPT,associatedWith,R-HSA-141444
CENPU,associatedWith,R-HSA-141444
CKAP5,associatedWith,R-HSA-141444
CLASP1,associatedWith,R-HSA-141444
CLASP2,associatedWith,R-HSA-141444
CLIP1,associatedWith,R-HSA-141444
DSN1,associatedWith,R-HSA-141444
DYNC1H1,associatedWith,R-HSA-141444
DYNC1I1,associatedWith,R-HSA-141444
DYNC1I2,associatedWith,R-HSA-141444
DYNC1LI1,associatedWith,R-HSA-141444
DYNC1LI2,associatedWith,R-HSA-141444
DYNLL1,associatedWith,R-HSA-141444
DYNLL2,associatedWith,R-HSA-141444
ERCC6L,associatedWith,R-HSA-141444
INCENP,associatedWith,R-HSA-141444
ITGB3BP,associatedWith,R-HSA-141444
KIF18A,associatedWith,R-HSA-141444
KIF2A,associatedWith,R-HSA-141444
KIF2B,associatedWith,R-HSA-141444
KIF2C,associatedWith,R-HSA-141444
KNL1,associatedWith,R-HSA-141444
KNTC1,associatedWith,R-HSA-141444
MAD1L1,associatedWith,R-HSA-141444
MAD2L1,associatedWith,R-HSA-141444
MAPRE1,associatedWith,R-HSA-141444
MIS12,associatedWith,R-HSA-141444
NDC80,associatedWith,R-HSA-141444
NDE1,associatedWith,R-HSA-141444
NDEL1,associatedWith,R-HSA-141444
NSL1,associatedWith,R-HSA-141444
NUDC,associatedWith,R-HSA-141444
NUF2,associatedWith,R-HSA-141444
NUP107,associatedWith,R-HSA-141444
NUP133,associatedWith,R-HSA-141444
NUP160,associatedWith,R-HSA-141444
NUP37,associatedWith,R-HSA-141444
NUP43,associatedWith,R-HSA-141444
NUP85,associatedWith,R-HSA-141444
NUP98,associatedWith,R-HSA-141444
PAFAH1B1,associatedWith,R-HSA-141444
PLK1,associatedWith,R-HSA-141444
PMF1,associatedWith,R-HSA-141444
PPP1CC,associatedWith,R-HSA-141444
PPP2CA,associatedWith,R-HSA-141444
PPP2CB,associatedWith,R-HSA-141444
PPP2R1A,associatedWith,R-HSA-141444
PPP2R1B,associatedWith,R-HSA-141444
PPP2R5A,associatedWith,R-HSA-141444
PPP2R5B,associatedWith,R-HSA-141444
PPP2R5C,associatedWith,R-HSA-141444
PPP2R5D,associatedWith,R-HSA-141444
PPP2R5E,associatedWith,R-HSA-141444
RANBP2,associatedWith,R-HSA-141444
RANGAP1,associatedWith,R-HSA-141444
RCC2,associatedWith,R-HSA-141444
RPS27,associatedWith,R-HSA-141444
SEC13,associatedWith,R-HSA-141444
SEH1L,associatedWith,R-HSA-141444
SGO1,associatedWith,R-HSA-141444
SGO2,associatedWith,R-HSA-141444
SKA1,associatedWith,R-HSA-141444
SKA2,associatedWith,R-HSA-141444
SPC24,associatedWith,R-HSA-141444
SPC25,associatedWith,R-HSA-141444
SPDL1,associatedWith,R-HSA-141444
TAOK1,associatedWith,R-HSA-141444
XPO1,associatedWith,R-HSA-141444
ZW10,associatedWith,R-HSA-141444
ZWILCH,associatedWith,R-HSA-141444
ZWINT,associatedWith,R-HSA-141444
CHEK1,associatedWith,R-HSA-1433557
CMA1,associatedWith,R-HSA-1433557
FER,associatedWith,R-HSA-1433557
FES,associatedWith,R-HSA-1433557
FYN,associatedWith,R-HSA-1433557
GAB2,associatedWith,R-HSA-1433557
GRAP,associatedWith,R-HSA-1433557
GRAP2,associatedWith,R-HSA-1433557
GRB10,associatedWith,R-HSA-1433557
GRB2,associatedWith,R-HSA-1433557
GRB7,associatedWith,R-HSA-1433557
HRAS,associatedWith,R-HSA-1433557
JAK2,associatedWith,R-HSA-1433557
KIT,associatedWith,R-HSA-1433557
KITLG,associatedWith,R-HSA-1433557
KRAS,associatedWith,R-HSA-1433557
LCK,associatedWith,R-HSA-1433557
LYN,associatedWith,R-HSA-1433557
MMP9,associatedWith,R-HSA-1433557
NRAS,associatedWith,R-HSA-1433557
PIK3CA,associatedWith,R-HSA-1433557
PIK3R1,associatedWith,R-HSA-1433557
PIK3R2,associatedWith,R-HSA-1433557
PIK3R3,associatedWith,R-HSA-1433557
PRKCA,associatedWith,R-HSA-1433557
PTPN11,associatedWith,R-HSA-1433557
PTPRU,associatedWith,R-HSA-1433557
RAC1,associatedWith,R-HSA-1433557
SOS1,associatedWith,R-HSA-1433557
SRC,associatedWith,R-HSA-1433557
STAT1,associatedWith,R-HSA-1433557
STAT3,associatedWith,R-HSA-1433557
STAT5A,associatedWith,R-HSA-1433557
STAT5B,associatedWith,R-HSA-1433557
TEC,associatedWith,R-HSA-1433557
VAV1,associatedWith,R-HSA-1433557
YES1,associatedWith,R-HSA-1433557
CBL,associatedWith,R-HSA-1433559
FYN,associatedWith,R-HSA-1433559
GRB2,associatedWith,R-HSA-1433559
KIT,associatedWith,R-HSA-1433559
KITLG,associatedWith,R-HSA-1433559
LCK,associatedWith,R-HSA-1433559
LYN,associatedWith,R-HSA-1433559
PRKCA,associatedWith,R-HSA-1433559
PTPN6,associatedWith,R-HSA-1433559
SH2B2,associatedWith,R-HSA-1433559
SH2B3,associatedWith,R-HSA-1433559
SOCS1,associatedWith,R-HSA-1433559
SOCS6,associatedWith,R-HSA-1433559
SOS1,associatedWith,R-HSA-1433559
SRC,associatedWith,R-HSA-1433559
YES1,associatedWith,R-HSA-1433559
ACVR1B,associatedWith,R-HSA-1433617
ACVR1C,associatedWith,R-HSA-1433617
ACVR2A,associatedWith,R-HSA-1433617
ACVR2B,associatedWith,R-HSA-1433617
CER1,associatedWith,R-HSA-1433617
CFC1,associatedWith,R-HSA-1433617
DAND5,associatedWith,R-HSA-1433617
LEFTY1,associatedWith,R-HSA-1433617
LEFTY2,associatedWith,R-HSA-1433617
NODAL,associatedWith,R-HSA-1433617
TDGF1,associatedWith,R-HSA-1433617
TDGF1P3,associatedWith,R-HSA-1433617
ADAM10,associatedWith,R-HSA-1442490
ADAM17,associatedWith,R-HSA-1442490
ADAM9,associatedWith,R-HSA-1442490
COL12A1,associatedWith,R-HSA-1442490
COL13A1,associatedWith,R-HSA-1442490
COL14A1,associatedWith,R-HSA-1442490
COL15A1,associatedWith,R-HSA-1442490
COL16A1,associatedWith,R-HSA-1442490
COL17A1,associatedWith,R-HSA-1442490
COL18A1,associatedWith,R-HSA-1442490
COL19A1,associatedWith,R-HSA-1442490
COL23A1,associatedWith,R-HSA-1442490
COL25A1,associatedWith,R-HSA-1442490
COL26A1,associatedWith,R-HSA-1442490
COL9A1,associatedWith,R-HSA-1442490
COL9A2,associatedWith,R-HSA-1442490
COL9A3,associatedWith,R-HSA-1442490
CTSB,associatedWith,R-HSA-1442490
CTSD,associatedWith,R-HSA-1442490
CTSK,associatedWith,R-HSA-1442490
CTSL,associatedWith,R-HSA-1442490
ELANE,associatedWith,R-HSA-1442490
FURIN,associatedWith,R-HSA-1442490
MMP1,associatedWith,R-HSA-1442490
MMP10,associatedWith,R-HSA-1442490
MMP11,associatedWith,R-HSA-1442490
MMP12,associatedWith,R-HSA-1442490
MMP13,associatedWith,R-HSA-1442490
MMP14,associatedWith,R-HSA-1442490
MMP15,associatedWith,R-HSA-1442490
MMP19,associatedWith,R-HSA-1442490
MMP2,associatedWith,R-HSA-1442490
MMP20,associatedWith,R-HSA-1442490
MMP3,associatedWith,R-HSA-1442490
MMP7,associatedWith,R-HSA-1442490
MMP8,associatedWith,R-HSA-1442490
MMP9,associatedWith,R-HSA-1442490
PHYKPL,associatedWith,R-HSA-1442490
PRSS2,associatedWith,R-HSA-1442490
TMPRSS6,associatedWith,R-HSA-1442490
AKT1,associatedWith,R-HSA-1445148
AKT2,associatedWith,R-HSA-1445148
ASPSCR1,associatedWith,R-HSA-1445148
C2CD5,associatedWith,R-HSA-1445148
CALM1,associatedWith,R-HSA-1445148
EXOC1,associatedWith,R-HSA-1445148
EXOC2,associatedWith,R-HSA-1445148
EXOC3,associatedWith,R-HSA-1445148
EXOC4,associatedWith,R-HSA-1445148
EXOC5,associatedWith,R-HSA-1445148
EXOC6,associatedWith,R-HSA-1445148
EXOC7,associatedWith,R-HSA-1445148
EXOC8,associatedWith,R-HSA-1445148
KIF3A,associatedWith,R-HSA-1445148
KIF3B,associatedWith,R-HSA-1445148
KIFAP3,associatedWith,R-HSA-1445148
LNPEP,associatedWith,R-HSA-1445148
MYH9,associatedWith,R-HSA-1445148
MYO1C,associatedWith,R-HSA-1445148
MYO5A,associatedWith,R-HSA-1445148
PRKAA2,associatedWith,R-HSA-1445148
PRKAB1,associatedWith,R-HSA-1445148
PRKAB2,associatedWith,R-HSA-1445148
PRKAG1,associatedWith,R-HSA-1445148
PRKAG2,associatedWith,R-HSA-1445148
PRKAG3,associatedWith,R-HSA-1445148
RAB10,associatedWith,R-HSA-1445148
RAB11A,associatedWith,R-HSA-1445148
RAB13,associatedWith,R-HSA-1445148
RAB14,associatedWith,R-HSA-1445148
RAB4A,associatedWith,R-HSA-1445148
RAB8A,associatedWith,R-HSA-1445148
RAC1,associatedWith,R-HSA-1445148
RALA,associatedWith,R-HSA-1445148
RALGAPA2,associatedWith,R-HSA-1445148
RALGAPB,associatedWith,R-HSA-1445148
RHOQ,associatedWith,R-HSA-1445148
SFN,associatedWith,R-HSA-1445148
SLC2A4,associatedWith,R-HSA-1445148
SNAP23,associatedWith,R-HSA-1445148
STX4,associatedWith,R-HSA-1445148
STXBP3,associatedWith,R-HSA-1445148
TBC1D1,associatedWith,R-HSA-1445148
TBC1D4,associatedWith,R-HSA-1445148
VAMP2,associatedWith,R-HSA-1445148
YWHAB,associatedWith,R-HSA-1445148
YWHAE,associatedWith,R-HSA-1445148
YWHAG,associatedWith,R-HSA-1445148
YWHAH,associatedWith,R-HSA-1445148
YWHAQ,associatedWith,R-HSA-1445148
YWHAZ,associatedWith,R-HSA-1445148
CCR2,associatedWith,R-HSA-1461957
CCR6,associatedWith,R-HSA-1461957
DEFB1,associatedWith,R-HSA-1461957
DEFB103A,associatedWith,R-HSA-1461957
DEFB103B,associatedWith,R-HSA-1461957
DEFB104A,associatedWith,R-HSA-1461957
DEFB104B,associatedWith,R-HSA-1461957
DEFB105A,associatedWith,R-HSA-1461957
DEFB105B,associatedWith,R-HSA-1461957
DEFB106A,associatedWith,R-HSA-1461957
DEFB106B,associatedWith,R-HSA-1461957
DEFB107A,associatedWith,R-HSA-1461957
DEFB107B,associatedWith,R-HSA-1461957
DEFB108A,associatedWith,R-HSA-1461957
DEFB108B,associatedWith,R-HSA-1461957
DEFB108C,associatedWith,R-HSA-1461957
DEFB109B,associatedWith,R-HSA-1461957
DEFB110,associatedWith,R-HSA-1461957
DEFB112,associatedWith,R-HSA-1461957
DEFB113,associatedWith,R-HSA-1461957
DEFB114,associatedWith,R-HSA-1461957
DEFB115,associatedWith,R-HSA-1461957
DEFB116,associatedWith,R-HSA-1461957
DEFB118,associatedWith,R-HSA-1461957
DEFB119,associatedWith,R-HSA-1461957
DEFB121,associatedWith,R-HSA-1461957
DEFB123,associatedWith,R-HSA-1461957
DEFB124,associatedWith,R-HSA-1461957
DEFB125,associatedWith,R-HSA-1461957
DEFB126,associatedWith,R-HSA-1461957
DEFB127,associatedWith,R-HSA-1461957
DEFB128,associatedWith,R-HSA-1461957
DEFB129,associatedWith,R-HSA-1461957
DEFB130A,associatedWith,R-HSA-1461957
DEFB130B,associatedWith,R-HSA-1461957
DEFB131A,associatedWith,R-HSA-1461957
DEFB132,associatedWith,R-HSA-1461957
DEFB133,associatedWith,R-HSA-1461957
DEFB134,associatedWith,R-HSA-1461957
DEFB135,associatedWith,R-HSA-1461957
DEFB136,associatedWith,R-HSA-1461957
DEFB4A,associatedWith,R-HSA-1461957
DEFB4B,associatedWith,R-HSA-1461957
TLR1,associatedWith,R-HSA-1461957
TLR2,associatedWith,R-HSA-1461957
DEFA1,associatedWith,R-HSA-1461973
DEFA1B,associatedWith,R-HSA-1461973
DEFA3,associatedWith,R-HSA-1461973
DEFA4,associatedWith,R-HSA-1461973
DEFA5,associatedWith,R-HSA-1461973
DEFA6,associatedWith,R-HSA-1461973
DEFB1,associatedWith,R-HSA-1461973
DEFB103A,associatedWith,R-HSA-1461973
DEFB103B,associatedWith,R-HSA-1461973
DEFB104A,associatedWith,R-HSA-1461973
DEFB104B,associatedWith,R-HSA-1461973
DEFB105A,associatedWith,R-HSA-1461973
DEFB105B,associatedWith,R-HSA-1461973
DEFB106A,associatedWith,R-HSA-1461973
DEFB106B,associatedWith,R-HSA-1461973
DEFB107A,associatedWith,R-HSA-1461973
DEFB107B,associatedWith,R-HSA-1461973
DEFB108B,associatedWith,R-HSA-1461973
DEFB110,associatedWith,R-HSA-1461973
DEFB112,associatedWith,R-HSA-1461973
DEFB113,associatedWith,R-HSA-1461973
DEFB114,associatedWith,R-HSA-1461973
DEFB115,associatedWith,R-HSA-1461973
DEFB116,associatedWith,R-HSA-1461973
DEFB118,associatedWith,R-HSA-1461973
DEFB119,associatedWith,R-HSA-1461973
DEFB121,associatedWith,R-HSA-1461973
DEFB123,associatedWith,R-HSA-1461973
DEFB124,associatedWith,R-HSA-1461973
DEFB125,associatedWith,R-HSA-1461973
DEFB126,associatedWith,R-HSA-1461973
DEFB127,associatedWith,R-HSA-1461973
DEFB128,associatedWith,R-HSA-1461973
DEFB129,associatedWith,R-HSA-1461973
DEFB130A,associatedWith,R-HSA-1461973
DEFB130B,associatedWith,R-HSA-1461973
DEFB131A,associatedWith,R-HSA-1461973
DEFB132,associatedWith,R-HSA-1461973
DEFB133,associatedWith,R-HSA-1461973
DEFB134,associatedWith,R-HSA-1461973
DEFB135,associatedWith,R-HSA-1461973
DEFB136,associatedWith,R-HSA-1461973
DEFB4A,associatedWith,R-HSA-1461973
DEFB4B,associatedWith,R-HSA-1461973
ART1,associatedWith,R-HSA-1462054
CD4,associatedWith,R-HSA-1462054
DEFA1,associatedWith,R-HSA-1462054
DEFA1B,associatedWith,R-HSA-1462054
DEFA3,associatedWith,R-HSA-1462054
DEFA4,associatedWith,R-HSA-1462054
DEFA5,associatedWith,R-HSA-1462054
DEFA6,associatedWith,R-HSA-1462054
PRSS2,associatedWith,R-HSA-1462054
PRSS3,associatedWith,R-HSA-1462054
AKT1,associatedWith,R-HSA-1474151
CALM1,associatedWith,R-HSA-1474151
DHFR,associatedWith,R-HSA-1474151
GCH1,associatedWith,R-HSA-1474151
GCHFR,associatedWith,R-HSA-1474151
HSP90AA1,associatedWith,R-HSA-1474151
NOS3,associatedWith,R-HSA-1474151
PRKG2,associatedWith,R-HSA-1474151
PTS,associatedWith,R-HSA-1474151
SPR,associatedWith,R-HSA-1474151
A2M,associatedWith,R-HSA-1474228
ACAN,associatedWith,R-HSA-1474228
ADAM10,associatedWith,R-HSA-1474228
ADAM15,associatedWith,R-HSA-1474228
ADAM8,associatedWith,R-HSA-1474228
ADAMTS1,associatedWith,R-HSA-1474228
ADAMTS16,associatedWith,R-HSA-1474228
ADAMTS18,associatedWith,R-HSA-1474228
ADAMTS4,associatedWith,R-HSA-1474228
ADAMTS5,associatedWith,R-HSA-1474228
ADAMTS8,associatedWith,R-HSA-1474228
ADAMTS9,associatedWith,R-HSA-1474228
BCAN,associatedWith,R-HSA-1474228
BMP1,associatedWith,R-HSA-1474228
BSG,associatedWith,R-HSA-1474228
CAPN1,associatedWith,R-HSA-1474228
CAPN10,associatedWith,R-HSA-1474228
CAPN11,associatedWith,R-HSA-1474228
CAPN12,associatedWith,R-HSA-1474228
CAPN13,associatedWith,R-HSA-1474228
CAPN14,associatedWith,R-HSA-1474228
CAPN15,associatedWith,R-HSA-1474228
CAPN2,associatedWith,R-HSA-1474228
CAPN3,associatedWith,R-HSA-1474228
CAPN5,associatedWith,R-HSA-1474228
CAPN6,associatedWith,R-HSA-1474228
CAPN7,associatedWith,R-HSA-1474228
CAPN8,associatedWith,R-HSA-1474228
CAPN9,associatedWith,R-HSA-1474228
CAPNS1,associatedWith,R-HSA-1474228
CAPNS2,associatedWith,R-HSA-1474228
CASP3,associatedWith,R-HSA-1474228
CAST,associatedWith,R-HSA-1474228
CD44,associatedWith,R-HSA-1474228
CDH1,associatedWith,R-HSA-1474228
CTSG,associatedWith,R-HSA-1474228
CTSK,associatedWith,R-HSA-1474228
CTSL,associatedWith,R-HSA-1474228
CTSS,associatedWith,R-HSA-1474228
CTSV,associatedWith,R-HSA-1474228
DCN,associatedWith,R-HSA-1474228
ELANE,associatedWith,R-HSA-1474228
HSPG2,associatedWith,R-HSA-1474228
HTRA1,associatedWith,R-HSA-1474228
KLK7,associatedWith,R-HSA-1474228
LAMA3,associatedWith,R-HSA-1474228
LAMA5,associatedWith,R-HSA-1474228
LAMB1,associatedWith,R-HSA-1474228
LAMB3,associatedWith,R-HSA-1474228
LAMC1,associatedWith,R-HSA-1474228
LAMC2,associatedWith,R-HSA-1474228
MMP1,associatedWith,R-HSA-1474228
MMP10,associatedWith,R-HSA-1474228
MMP11,associatedWith,R-HSA-1474228
MMP12,associatedWith,R-HSA-1474228
MMP13,associatedWith,R-HSA-1474228
MMP14,associatedWith,R-HSA-1474228
MMP15,associatedWith,R-HSA-1474228
MMP19,associatedWith,R-HSA-1474228
MMP2,associatedWith,R-HSA-1474228
MMP20,associatedWith,R-HSA-1474228
MMP3,associatedWith,R-HSA-1474228
MMP7,associatedWith,R-HSA-1474228
MMP8,associatedWith,R-HSA-1474228
MMP9,associatedWith,R-HSA-1474228
NCSTN,associatedWith,R-HSA-1474228
NID1,associatedWith,R-HSA-1474228
OPTC,associatedWith,R-HSA-1474228
PLG,associatedWith,R-HSA-1474228
PSEN1,associatedWith,R-HSA-1474228
SCUBE1,associatedWith,R-HSA-1474228
SCUBE3,associatedWith,R-HSA-1474228
SPP1,associatedWith,R-HSA-1474228
TLL1,associatedWith,R-HSA-1474228
TLL2,associatedWith,R-HSA-1474228
TMPRSS6,associatedWith,R-HSA-1474228
FN1,associatedWith,R-HSA-1474244
CA1,associatedWith,R-HSA-1475029
CA12,associatedWith,R-HSA-1475029
CA13,associatedWith,R-HSA-1475029
CA14,associatedWith,R-HSA-1475029
CA2,associatedWith,R-HSA-1475029
CA3,associatedWith,R-HSA-1475029
CA4,associatedWith,R-HSA-1475029
CA5A,associatedWith,R-HSA-1475029
CA5B,associatedWith,R-HSA-1475029
CA6,associatedWith,R-HSA-1475029
CA7,associatedWith,R-HSA-1475029
CA9,associatedWith,R-HSA-1475029
LPCAT1,associatedWith,R-HSA-1482788
LPCAT2,associatedWith,R-HSA-1482788
LPCAT3,associatedWith,R-HSA-1482788
LPCAT4,associatedWith,R-HSA-1482788
MBOAT2,associatedWith,R-HSA-1482788
PLA2G10,associatedWith,R-HSA-1482788
PLA2G12A,associatedWith,R-HSA-1482788
PLA2G1B,associatedWith,R-HSA-1482788
