protein,relation,pathway
HIST1H4B,associatedWith,R-HSA-110328
HIST1H4C,associatedWith,R-HSA-110328
HIST1H4D,associatedWith,R-HSA-110328
HIST1H4E,associatedWith,R-HSA-110328
HIST1H4F,associatedWith,R-HSA-110328
HIST1H4H,associatedWith,R-HSA-110328
HIST1H4I,associatedWith,R-HSA-110328
HIST1H4J,associatedWith,R-HSA-110328
HIST1H4K,associatedWith,R-HSA-110328
HIST1H4L,associatedWith,R-HSA-110328
HIST2H2AA3,associatedWith,R-HSA-110328
HIST2H2AA4,associatedWith,R-HSA-110328
HIST2H2AC,associatedWith,R-HSA-110328
HIST2H2BE,associatedWith,R-HSA-110328
HIST2H4A,associatedWith,R-HSA-110328
HIST2H4B,associatedWith,R-HSA-110328
HIST3H2BB,associatedWith,R-HSA-110328
HIST3H3,associatedWith,R-HSA-110328
HIST4H4,associatedWith,R-HSA-110328
MBD4,associatedWith,R-HSA-110328
NEIL1,associatedWith,R-HSA-110328
NEIL2,associatedWith,R-HSA-110328
NEIL3,associatedWith,R-HSA-110328
NTHL1,associatedWith,R-HSA-110328
OGG1,associatedWith,R-HSA-110328
POT1,associatedWith,R-HSA-110328
SMUG1,associatedWith,R-HSA-110328
TDG,associatedWith,R-HSA-110328
TERF1,associatedWith,R-HSA-110328
TERF2,associatedWith,R-HSA-110328
TERF2IP,associatedWith,R-HSA-110328
TINF2,associatedWith,R-HSA-110328
UNG,associatedWith,R-HSA-110328
ACD,associatedWith,R-HSA-110329
H2AFB1,associatedWith,R-HSA-110329
H2AFJ,associatedWith,R-HSA-110329
H2AFV,associatedWith,R-HSA-110329
H2AFX,associatedWith,R-HSA-110329
H2AFZ,associatedWith,R-HSA-110329
H2BFS,associatedWith,R-HSA-110329
HIST1H2AB,associatedWith,R-HSA-110329
HIST1H2AC,associatedWith,R-HSA-110329
HIST1H2AD,associatedWith,R-HSA-110329
HIST1H2AE,associatedWith,R-HSA-110329
HIST1H2AJ,associatedWith,R-HSA-110329
HIST1H2BA,associatedWith,R-HSA-110329
HIST1H2BB,associatedWith,R-HSA-110329
HIST1H2BC,associatedWith,R-HSA-110329
HIST1H2BD,associatedWith,R-HSA-110329
HIST1H2BE,associatedWith,R-HSA-110329
HIST1H2BF,associatedWith,R-HSA-110329
HIST1H2BG,associatedWith,R-HSA-110329
HIST1H2BH,associatedWith,R-HSA-110329
HIST1H2BI,associatedWith,R-HSA-110329
HIST1H2BJ,associatedWith,R-HSA-110329
HIST1H2BK,associatedWith,R-HSA-110329
HIST1H2BL,associatedWith,R-HSA-110329
HIST1H2BM,associatedWith,R-HSA-110329
HIST1H2BN,associatedWith,R-HSA-110329
HIST1H2BO,associatedWith,R-HSA-110329
HIST1H4A,associatedWith,R-HSA-110329
HIST1H4B,associatedWith,R-HSA-110329
HIST1H4C,associatedWith,R-HSA-110329
HIST1H4D,associatedWith,R-HSA-110329
HIST1H4E,associatedWith,R-HSA-110329
HIST1H4F,associatedWith,R-HSA-110329
HIST1H4H,associatedWith,R-HSA-110329
HIST1H4I,associatedWith,R-HSA-110329
HIST1H4J,associatedWith,R-HSA-110329
HIST1H4K,associatedWith,R-HSA-110329
HIST1H4L,associatedWith,R-HSA-110329
HIST2H2AA3,associatedWith,R-HSA-110329
HIST2H2AA4,associatedWith,R-HSA-110329
HIST2H2AC,associatedWith,R-HSA-110329
HIST2H2BE,associatedWith,R-HSA-110329
HIST2H4A,associatedWith,R-HSA-110329
HIST2H4B,associatedWith,R-HSA-110329
HIST3H2BB,associatedWith,R-HSA-110329
HIST3H3,associatedWith,R-HSA-110329
HIST4H4,associatedWith,R-HSA-110329
MBD4,associatedWith,R-HSA-110329
NEIL1,associatedWith,R-HSA-110329
NEIL2,associatedWith,R-HSA-110329
NEIL3,associatedWith,R-HSA-110329
NTHL1,associatedWith,R-HSA-110329
OGG1,associatedWith,R-HSA-110329
POT1,associatedWith,R-HSA-110329
SMUG1,associatedWith,R-HSA-110329
TDG,associatedWith,R-HSA-110329
TERF1,associatedWith,R-HSA-110329
TERF2,associatedWith,R-HSA-110329
TERF2IP,associatedWith,R-HSA-110329
TINF2,associatedWith,R-HSA-110329
UNG,associatedWith,R-HSA-110329
ACD,associatedWith,R-HSA-110330
H2AFB1,associatedWith,R-HSA-110330
H2AFJ,associatedWith,R-HSA-110330
H2AFV,associatedWith,R-HSA-110330
H2AFX,associatedWith,R-HSA-110330
H2AFZ,associatedWith,R-HSA-110330
H2BFS,associatedWith,R-HSA-110330
HIST1H2AB,associatedWith,R-HSA-110330
HIST1H2AC,associatedWith,R-HSA-110330
HIST1H2AD,associatedWith,R-HSA-110330
HIST1H2AE,associatedWith,R-HSA-110330
HIST1H2AJ,associatedWith,R-HSA-110330
HIST1H2BA,associatedWith,R-HSA-110330
HIST1H2BB,associatedWith,R-HSA-110330
HIST1H2BC,associatedWith,R-HSA-110330
HIST1H2BD,associatedWith,R-HSA-110330
HIST1H2BE,associatedWith,R-HSA-110330
HIST1H2BF,associatedWith,R-HSA-110330
HIST1H2BG,associatedWith,R-HSA-110330
HIST1H2BH,associatedWith,R-HSA-110330
HIST1H2BI,associatedWith,R-HSA-110330
HIST1H2BJ,associatedWith,R-HSA-110330
HIST1H2BK,associatedWith,R-HSA-110330
HIST1H2BL,associatedWith,R-HSA-110330
HIST1H2BM,associatedWith,R-HSA-110330
HIST1H2BN,associatedWith,R-HSA-110330
HIST1H2BO,associatedWith,R-HSA-110330
HIST1H4A,associatedWith,R-HSA-110330
HIST1H4B,associatedWith,R-HSA-110330
HIST1H4C,associatedWith,R-HSA-110330
HIST1H4D,associatedWith,R-HSA-110330
HIST1H4E,associatedWith,R-HSA-110330
HIST1H4F,associatedWith,R-HSA-110330
HIST1H4H,associatedWith,R-HSA-110330
HIST1H4I,associatedWith,R-HSA-110330
HIST1H4J,associatedWith,R-HSA-110330
HIST1H4K,associatedWith,R-HSA-110330
HIST1H4L,associatedWith,R-HSA-110330
HIST2H2AA3,associatedWith,R-HSA-110330
HIST2H2AA4,associatedWith,R-HSA-110330
HIST2H2AC,associatedWith,R-HSA-110330
HIST2H2BE,associatedWith,R-HSA-110330
HIST2H4A,associatedWith,R-HSA-110330
HIST2H4B,associatedWith,R-HSA-110330
HIST3H2BB,associatedWith,R-HSA-110330
HIST3H3,associatedWith,R-HSA-110330
HIST4H4,associatedWith,R-HSA-110330
MPG,associatedWith,R-HSA-110330
MUTYH,associatedWith,R-HSA-110330
NEIL3,associatedWith,R-HSA-110330
OGG1,associatedWith,R-HSA-110330
POT1,associatedWith,R-HSA-110330
TERF1,associatedWith,R-HSA-110330
TERF2,associatedWith,R-HSA-110330
TERF2IP,associatedWith,R-HSA-110330
TINF2,associatedWith,R-HSA-110330
ACD,associatedWith,R-HSA-110331
H2AFB1,associatedWith,R-HSA-110331
H2AFJ,associatedWith,R-HSA-110331
H2AFV,associatedWith,R-HSA-110331
H2AFX,associatedWith,R-HSA-110331
H2AFZ,associatedWith,R-HSA-110331
H2BFS,associatedWith,R-HSA-110331
HIST1H2AB,associatedWith,R-HSA-110331
HIST1H2AC,associatedWith,R-HSA-110331
HIST1H2AD,associatedWith,R-HSA-110331
HIST1H2AE,associatedWith,R-HSA-110331
HIST1H2AJ,associatedWith,R-HSA-110331
HIST1H2BA,associatedWith,R-HSA-110331
HIST1H2BB,associatedWith,R-HSA-110331
HIST1H2BC,associatedWith,R-HSA-110331
HIST1H2BD,associatedWith,R-HSA-110331
HIST1H2BE,associatedWith,R-HSA-110331
HIST1H2BF,associatedWith,R-HSA-110331
HIST1H2BG,associatedWith,R-HSA-110331
HIST1H2BH,associatedWith,R-HSA-110331
HIST1H2BI,associatedWith,R-HSA-110331
HIST1H2BJ,associatedWith,R-HSA-110331
HIST1H2BK,associatedWith,R-HSA-110331
HIST1H2BL,associatedWith,R-HSA-110331
