R-HSA-5083635,Defective B3GALTL causes PpS,orofacial cleft
R-HSA-5579000,Defective CYP1B1 causes Glaucoma,open-angle glaucoma
R-HSA-5579031,Defective ACTH causes obesity and POMCD,obesity
R-HSA-5619094,Variant SLC6A14 may confer susceptibility towards obesity,obesity
R-HSA-6802949,Signaling by RAS mutants,Noonan syndrome
R-HSA-4793950,Defective MAN1B1 causes MRT15,non-specific X-linked mental retardation
R-HSA-5683678,Defective ABCA3 causes SMDP3,newborn respiratory distress syndrome
R-HSA-5687868,Defective SFTPA2 causes IPF,newborn respiratory distress syndrome
R-HSA-5688031,Defective pro-SFTPB causes SMDP1 and RDS,newborn respiratory distress syndrome
R-HSA-5688354,Defective pro-SFTPC causes SMDP2 and RDS,newborn respiratory distress syndrome
R-HSA-5688399,Defective ABCA3 causes SMDP3,newborn respiratory distress syndrome
R-HSA-5688890,Defective CSF2RA causes SMDP4,newborn respiratory distress syndrome
R-HSA-5619039,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",neuropathy
R-HSA-5619099,"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",neurohypophyseal diabetes insipidus
R-HSA-9036092,Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI),neurohypophyseal diabetes insipidus
R-HSA-6802953,RAS signaling downstream of NF1 loss-of-function variants,neurofibromatosis
R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),neurodegenerative disease
R-HSA-5619081,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),neurodegenerative disease
R-HSA-5660724,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),neurodegenerative disease
R-HSA-5619040,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),nephrolithiasis
R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias,neonatal diabetes mellitus
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,myelodysplastic myeloproliferative cancer
R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",muscular dystrophy-dystroglycanopathy
R-HSA-5083629,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",muscular dystrophy-dystroglycanopathy
R-HSA-5083633,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",muscular dystrophy-dystroglycanopathy
R-HSA-2206292,MPS VII - Sly syndrome (Hyaluronan metabolism),mucopolysaccharidosis VII
R-HSA-2206285,MPS VI - Maroteaux-Lamy syndrome,mucopolysaccharidosis VI
R-HSA-2206290,MPS IV - Morquio syndrome A,mucopolysaccharidosis IV
R-HSA-2206282,MPS IIIB - Sanfilippo syndrome B,mucopolysaccharidosis III
R-HSA-2206291,MPS IIIC - Sanfilippo syndrome C,mucopolysaccharidosis III
R-HSA-2206305,MPS IIID - Sanfilippo syndrome D,mucopolysaccharidosis III
R-HSA-2206307,MPS IIIA - Sanfilippo syndrome A,mucopolysaccharidosis III
R-HSA-2206296,MPS II - Hunter syndrome (HS-GAG degradation),mucopolysaccharidosis II
R-HSA-2206302,MPS I - Hurler syndrome (HS-GAG degradation),mucopolysaccharidosis I
R-HSA-2206280,MPS IX - Natowicz syndrome (Hyaluronan metabolism),mucopolysaccharidosis
R-HSA-2206308,MPS IV - Morquio syndrome B (Keratin metabolism),mucopolysaccharidosis
R-HSA-5619114,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),motor peripheral neuropathy
R-HSA-5658471,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),motor peripheral neuropathy
R-HSA-5683371,Defective ABCB6 causes MCOPCB7,microphthalmia
R-HSA-3359478,Defective MUT causes MMAM,methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency
R-HSA-3359469,Defective MTR causes HMAG,methylmalonic aciduria and homocystinuria type cblG
R-HSA-3359467,Defective MTRR causes HMAE,methylmalonic aciduria and homocystinuria type cblE
R-HSA-3359473,Defective MMADHC causes MMAHCD,methylmalonic aciduria and homocystinuria type cblD
R-HSA-3359474,Defective MMACHC causes MAHCC,methylmalonic aciduria and homocystinuria type cblC
R-HSA-3359471,"Defective MMAB causes MMA, cblB type",methylmalonic acidemia
R-HSA-3359475,"Defective MMAA causes MMA, cblA type",methylmalonic acidemia
R-HSA-3359485,Defective CD320 causes MMATC,methylmalonic acidemia
R-HSA-5683329,Defective ABCD4 causes MAHCJ,methylmalonic acidemia
R-HSA-3359454,Defective TCN2 causes TCN2 deficiency,megaloblastic anemia
R-HSA-3359457,Defective CBLIF causes IFD,megaloblastic anemia
R-HSA-3359462,Defective AMN causes MGA1,megaloblastic anemia
R-HSA-3359463,Defective CUBN causes MGA1,megaloblastic anemia
R-HSA-5619073,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2),maturity-onset diabetes of the young
R-HSA-3656225,Defective CHST6 causes MCDC1,macular corneal dystrophy
R-HSA-4341670,Defective NEU1 causes sialidosis,lysosomal storage disease
R-HSA-5619066,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1),lung cancer
R-HSA-8875360,InlB-mediated entry of Listeria monocytogenes into host cell,listeriosis
R-HSA-8876493,InlA-mediated entry of Listeria monocytogenes into host cells,listeriosis
R-HSA-5679090,Defective ABCG8 causes GBD4 and sitosterolemia,lipid metabolism disorder
R-HSA-5679096,Defective ABCG5 causes sitosterolemia,lipid metabolism disorder
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,Larsen syndrome
R-HSA-5678520,Defective ABCB11 causes PFIC2 and BRIC2,intrahepatic cholestasis
R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",intrahepatic cholestasis
R-HSA-8942233,Intestinal infectious diseases,intestinal infectious disease
R-HSA-5659898,Intestinal saccharidase deficiencies,intestinal disaccharidase deficiency
R-HSA-5688031,Defective pro-SFTPB causes SMDP1 and RDS,interstitial lung disease
R-HSA-5688354,Defective pro-SFTPC causes SMDP2 and RDS,interstitial lung disease
R-HSA-5688399,Defective ABCA3 causes SMDP3,interstitial lung disease
R-HSA-5578995,Defective TPMT causes TPMT deficiency,inherited metabolic disorder
R-HSA-5578998,Defective OPLAH causes OPLAHD,inherited metabolic disorder
R-HSA-5579006,Defective GSS causes GSS deficiency,inherited metabolic disorder
R-HSA-5579019,Defective FMO3 causes TMAU,inherited metabolic disorder
R-HSA-5579022,Defective GGT1 causes GLUTH,inherited metabolic disorder
R-HSA-5619035,Defective SLC17A5 causes Salla disease (SD) and ISSD,inherited metabolic disorder
R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),inherited metabolic disorder
R-HSA-9035968,Defective GGT1 in aflatoxin detoxification causes GLUTH,inherited metabolic disorder
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,influenza
R-HSA-168275,Entry of Influenza Virion into Host Cell via Endocytosis,influenza
R-HSA-168276,NS1 Mediated Effects on Host Pathways,influenza
R-HSA-168277,Influenza Virus Induced Apoptosis,influenza
R-HSA-168315,Inhibition of Host mRNA Processing and RNA Silencing,influenza
R-HSA-168316,Assembly of Viral Components at the Budding Site,influenza
R-HSA-168325,Viral Messenger RNA Synthesis,influenza
R-HSA-168330,Viral RNP Complexes in the Host Cell Nucleus,influenza
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,influenza
R-HSA-169131,Inhibition of PKR,influenza
R-HSA-192823,Viral mRNA Translation,influenza
R-HSA-192905,vRNP Assembly,influenza
R-HSA-4085011,"Defective GNE causes sialuria, NK and IBM2",inclusion body myositis
R-HSA-5687868,Defective SFTPA2 causes IPF,idiopathic pulmonary fibrosis
R-HSA-5619040,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1),hypophosphatemia
R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias,hypoglycemia
R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",hypochromic microcytic anemia
R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",hypertrichosis
R-HSA-5083625,Defective GALNT3 causes HFTC,hyperphosphatemia
R-HSA-5578997,Defective AHCY causes HMAHCHD,hypermethioninemia
R-HSA-5579024,Defective MAT1A causes MATD,hypermethioninemia
R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias,hyperinsulinemic hypoglycemia
R-HSA-5579010,Defective CYP24A1 causes HCAI,hypercalcemia
R-HSA-162585,Uncoating of the HIV Virion,Human immunodeficiency virus infectious disease
R-HSA-162588,Budding and maturation of HIV virion,Human immunodeficiency virus infectious disease
R-HSA-162592,Integration of provirus,Human immunodeficiency virus infectious disease
R-HSA-162594,Early Phase of HIV Life Cycle,Human immunodeficiency virus infectious disease
R-HSA-162599,Late Phase of HIV Life Cycle,Human immunodeficiency virus infectious disease
R-HSA-164516,Minus-strand DNA synthesis,Human immunodeficiency virus infectious disease
R-HSA-164525,Plus-strand DNA synthesis,Human immunodeficiency virus infectious disease
R-HSA-164843,2-LTR circle formation,Human immunodeficiency virus infectious disease
R-HSA-164939,Nef mediated downregulation of CD28 cell surface expression,Human immunodeficiency virus infectious disease
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,Human immunodeficiency virus infectious disease
R-HSA-164944,Nef and signal transduction,Human immunodeficiency virus infectious disease
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,Human immunodeficiency virus infectious disease
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,Human immunodeficiency virus infectious disease
R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,Human immunodeficiency virus infectious disease
R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,Human immunodeficiency virus infectious disease
R-HSA-167161,HIV Transcription Initiation,Human immunodeficiency virus infectious disease
R-HSA-167162,RNA Polymerase II HIV Promoter Escape,Human immunodeficiency virus infectious disease
R-HSA-167172,Transcription of the HIV genome,Human immunodeficiency virus infectious disease
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,Human immunodeficiency virus infectious disease
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,Human immunodeficiency virus infectious disease
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,Human immunodeficiency virus infectious disease
R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,Human immunodeficiency virus infectious disease
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,Human immunodeficiency virus infectious disease
R-HSA-167287,HIV elongation arrest and recovery,Human immunodeficiency virus infectious disease
R-HSA-167290,Pausing and recovery of HIV elongation,Human immunodeficiency virus infectious disease
R-HSA-167590,Nef Mediated CD4 Down-regulation,Human immunodeficiency virus infectious disease
R-HSA-171286,Synthesis and processing of ENV and VPU,Human immunodeficiency virus infectious disease
R-HSA-173107,Binding and entry of HIV virion,Human immunodeficiency virus infectious disease
R-HSA-174490,Membrane binding and targetting of GAG proteins,Human immunodeficiency virus infectious disease
R-HSA-175474,Assembly Of The HIV Virion,Human immunodeficiency virus infectious disease
R-HSA-175567,Integration of viral DNA into host genomic DNA,Human immunodeficiency virus infectious disease
R-HSA-176034,Interactions of Tat with host cellular proteins,Human immunodeficiency virus infectious disease
R-HSA-177539,Autointegration results in viral DNA circles,Human immunodeficiency virus infectious disease
R-HSA-180534,Vpu mediated degradation of CD4,Human immunodeficiency virus infectious disease
R-HSA-180585,Vif-mediated degradation of APOBEC3G,Human immunodeficiency virus infectious disease
R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,Human immunodeficiency virus infectious disease
R-HSA-180746,Nuclear import of Rev protein,Human immunodeficiency virus infectious disease
R-HSA-180897,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Human immunodeficiency virus infectious disease
R-HSA-180910,Vpr-mediated nuclear import of PICs,Human immunodeficiency virus infectious disease
R-HSA-182218,Nef Mediated CD8 Down-regulation,Human immunodeficiency virus infectious disease
R-HSA-5683329,Defective ABCD4 causes MAHCJ,homocystinuria
R-HSA-5362768,Hh mutants are degraded by ERAD,holoprosencephaly
R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),histiocytosis
R-HSA-5619050,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",hereditary spherocytosis
R-HSA-5579011,Defective CYP2U1 causes SPG56,hereditary spastic paraplegia
R-HSA-5579013,Defective CYP7B1 causes SPG5A and CBAS3,hereditary spastic paraplegia
R-HSA-5619061,Defective SLC33A1 causes spastic paraplegia 42 (SPG42),hereditary spastic paraplegia
R-HSA-3656237,Defective EXT2 causes exostoses 2,hereditary multiple exostoses
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",hereditary multiple exostoses
R-HSA-5657560,Hereditary fructose intolerance,hereditary fructose intolerance syndrome
R-HSA-5578999,Defective GCLC causes HAGGSD,hemolytic anemia
R-HSA-5619049,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages),hemochromatosis
R-HSA-5655799,Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum),hemochromatosis
R-HSA-5619044,Defective SLC6A19 causes Hartnup disorder (HND),Hartnup disease
R-HSA-5659735,Defective SLC6A19 causes Hartnup disorder (HND),Hartnup disease
R-HSA-5619046,Defective SLC26A4 causes Pendred syndrome (PDS),goiter
R-HSA-3814836,Glycogen storage disease type XV (GYG1),glycogen storage disease XV
R-HSA-3878781,Glycogen storage disease type IV (GBE1),glycogen storage disease IV
R-HSA-5357609,Glycogen storage disease type II (GAA),glycogen storage disease II
R-HSA-3229133,Glycogen storage disease type Ib (SLC37A4),glycogen storage disease I
R-HSA-3274531,Glycogen storage disease type Ia (G6PC),glycogen storage disease I
R-HSA-3785653,Myoclonic epilepsy of Lafora,glycogen storage disease
R-HSA-3828062,Glycogen storage disease type 0 (muscle GYS1),glycogen storage disease
R-HSA-3858516,Glycogen storage disease type 0 (liver GYS2),glycogen storage disease
R-HSA-5656364,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM),glucose intolerance
R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,glioblastoma
R-HSA-5579000,Defective CYP1B1 causes Glaucoma,glaucoma
R-HSA-5619087,Defective SLC12A3 causes Gitelman syndrome (GS),Gitelman syndrome
R-HSA-5579002,Defective UGT1A1 causes hyperbilirubinemia,Gilbert syndrome
R-HSA-5579016,Defective UGT1A4 causes hyperbilirubinemia,Gilbert syndrome
R-HSA-3656248,Defective HEXB causes GM2G2 (Hyaluronan metabolism),gangliosidosis GM2
R-HSA-3656234,Defective HEXA causes GM2G1 (Hyaluronan metabolism),gangliosidosis GM1
R-HSA-5609977,Defective GALE causes EDG,galactosemia
R-HSA-5609978,Defective GALT can cause GALCT,galactosemia
R-HSA-5609976,Defective GALK1 causes GALCT2,galactokinase deficiency
R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",familial atrial fibrillation
R-HSA-9608287,Defective MUTYH substrate binding,familial adenomatous polyposis
R-HSA-9608290,Defective MUTYH substrate processing,familial adenomatous polyposis
R-HSA-5083635,Defective B3GALTL causes PpS,eye disease
R-HSA-5619062,Defective SLC1A3 causes episodic ataxia 6 (EA6),episodic ataxia
R-HSA-5619083,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",epilepsy syndrome
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",Ehlers-Danlos syndrome
R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",Ehlers-Danlos syndrome
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,Ehlers-Danlos syndrome
R-HSA-5619043,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),early infantile epileptic encephalopathy
R-HSA-5619072,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),early infantile epileptic encephalopathy
R-HSA-2466712,"Biosynthesis of A2E, implicated in retinal degradation",dystrophies primarily involving the retinal pigment epithelium
R-HSA-5679001,Defective ABCC2 causes DJS,Dubin-Johnson syndrome
R-HSA-5619083,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",distal arthrogryposis
pathway_id,pathway_name,disease_name
R-HSA-5579012,Defective MAOA causes BRUNS,disease of mental health
R-HSA-5336415,Uptake and function of diphtheria toxin,diphtheria
R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",dilated cardiomyopathy
R-HSA-3560792,Defective SLC26A2 causes chondrodysplasias,diastrophic dysplasia
R-HSA-3656243,Defective ST3GAL3 causes MCT12 and EIEE15,developmental disorder of mental health
R-HSA-5619083,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",developmental disorder of mental health
R-HSA-5619113,Defective SLC3A1 causes cystinuria (CSNU),cystinuria
R-HSA-5660883,Defective SLC7A9 causes cystinuria (CSNU),cystinuria
R-HSA-5678895,Defective CFTR causes cystic fibrosis,cystic fibrosis
R-HSA-5579002,Defective UGT1A1 causes hyperbilirubinemia,Crigler-Najjar syndrome
R-HSA-5579016,Defective UGT1A4 causes hyperbilirubinemia,Crigler-Najjar syndrome
R-HSA-5579015,Defective CYP26B1 causes RHFCA,craniosynostosis
R-HSA-5619077,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D),congenital stationary night blindness
R-HSA-5619056,Defective HK1 causes hexokinase deficiency (HK deficiency),congenital nonspherocytic hemolytic anemia
R-HSA-4549349,Defective ALG2 causes CDG-1i,congenital myasthenic syndrome
R-HSA-5633231,Defective ALG14 causes ALG14-CMS,congenital myasthenic syndrome
R-HSA-5083627,Defective LARGE causes MDDGA6 and MDDGB6,congenital muscular dystrophy
R-HSA-5619096,Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1),congenital hypothyroidism
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,congenital heart defect
R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),congenital disorder of glycosylation type II
R-HSA-4793952,Defective MGAT2 causes CDG-2a,congenital disorder of glycosylation type II
R-HSA-4793953,Defective B4GALT1 causes CDG-2d,congenital disorder of glycosylation type II
R-HSA-4793954,Defective MOGS causes CDG-2b,congenital disorder of glycosylation type II
R-HSA-5619037,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),congenital disorder of glycosylation type II
R-HSA-5619072,Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M),congenital disorder of glycosylation type II
R-HSA-5619078,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C),congenital disorder of glycosylation type II
R-HSA-5663020,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),congenital disorder of glycosylation type II
R-HSA-4043911,Defective PMM2 causes PMM2-CDG,congenital disorder of glycosylation type I
R-HSA-4043916,Defective MPI causes MPI-CDG,congenital disorder of glycosylation type I
R-HSA-4085023,Defective GFPT1 causes CMSTA1,congenital disorder of glycosylation type I
R-HSA-4549349,Defective ALG2 causes CDG-1i,congenital disorder of glycosylation type I
R-HSA-4549356,"Defective DPAGT1 causes CDG-1j, CMSTA2",congenital disorder of glycosylation type I
R-HSA-4549380,Defective ALG1 causes CDG-1k,congenital disorder of glycosylation type I
R-HSA-4551295,Defective ALG11 causes CDG-1p,congenital disorder of glycosylation type I
R-HSA-4570571,Defective RFT1 causes CDG-1n,congenital disorder of glycosylation type I
R-HSA-4687000,Defective MPDU1 causes CDG-1f,congenital disorder of glycosylation type I
R-HSA-4717374,Defective DPM1 causes DPM1-CDG,congenital disorder of glycosylation type I
R-HSA-4719360,Defective DPM3 causes DPM3-CDG,congenital disorder of glycosylation type I
R-HSA-4719377,Defective DPM2 causes DPM2-CDG,congenital disorder of glycosylation type I
R-HSA-4720454,Defective ALG9 causes CDG-1l,congenital disorder of glycosylation type I
R-HSA-4720489,Defective ALG12 causes CDG-1g,congenital disorder of glycosylation type I
R-HSA-4724289,Defective ALG6 causes CDG-1c,congenital disorder of glycosylation type I
R-HSA-4724325,Defective ALG8 causes CDG-1h,congenital disorder of glycosylation type I
R-HSA-4755579,"Defective SRD5A3 causes SRD5A3-CDG, KHRZ",congenital disorder of glycosylation type I
